Street address,City,State,Zip/Postal Code,Country,Latitude,Longitude,Postal Code,X
1787 Saint Clair Ave W #414, Toronto,ON,M6N1H9,Canada,43.673553,-79.461868,M6N,1H9
509 Beecroft Rd #1209, Toronto,ON,M2N0A3,Canada,43.778652,-79.417947,M2N,0A3
472 Crawford St, Toronto,ON,M6G3J8,Canada,43.656967,-79.42006,M6G,3J8
186 Macpherson Ave, Toronto,ON,M5R1W8,Canada,43.677945,-79.396728,M5R,1W8
195 McCaul St #909, Toronto,ON,M5T0E5,Canada,43.6567,-79.392206,M5T,0E5
30 Roehampton Ave UNIT 1902, Toronto,ON,M4P0B9,Canada,43.708432,-79.397532,M4P,0B9
84 Old Forest Hill Rd, Toronto,ON,M5P2R5,Canada,43.698984,-79.418189,M5P,2R5
625 Queen St E #607, Toronto,ON,M4M1G7,Canada,43.658001,-79.352987,M4M,1G7
320 Dixon Rd #506, Toronto,ON,M9R1S8,Canada,43.696822,-79.552528,M9R,1S8
45 Manning Ave, Toronto,ON,M6J2K3,Canada,43.647598,-79.408882,M6J,2K3
41 Pinto Dr, Toronto,ON,M2J3T9,Canada,43.791871,-79.339242,M2J,3T9
3 Chilcot Ave, Toronto,ON,M9W1T9,Canada,43.713267,-79.551602,M9W,1T9
2 Sonic Way #1708, Toronto,ON,M3C0P2,Canada,43.719497,-79.336408,M3C,0P2
53 Hazelton Ave, Toronto,ON,M5R2E3,Canada,43.672448,-79.393529,M5R,2E3
80 John St #3201, Toronto,ON,M5V3X4,Canada,43.646874,-79.390188,M5V,3X4
7 Carlton St #704, Toronto,ON,M5B2M3,Canada,43.661094,-79.38259,M5B,2M3
37 Pringdale Gardens Cir, Toronto,ON,M1J0B1,Canada,43.742145,-79.24373,M1J,0B1
10 Ed Clark Gdns #14, Toronto,ON,M6N3A9,Canada,43.674272,-79.46257,M6N,3A9
12 Waring Ct, Toronto,ON,M2N4G7,Canada,43.776906,-79.401025,M2N,4G7
60 Colborne St #1608, Toronto,ON,M5E0B7,Canada,43.649288,-79.374406,M5E,0B7
185 Roehampton Ave #2907, Toronto,ON,M4P0C6,Canada,43.708956,-79.392982,M4P,0C6
1 Sudbury St #101, Toronto,ON,M6J3W6,Canada,43.641055,-79.417998,M6J,3W6
51 Harrison Garden Blvd #707, Toronto,ON,M2N7G4,Canada,43.756666,-79.407784,M2N,7G4
36 Lisgar St #1010, Toronto,ON,M6J0C7,Canada,43.641739,-79.423316,M6J,0C7
5765 Yonge St #1204, Toronto,ON,M2M4H9,Canada,43.783102,-79.415166,M2M,4H9
41 Dearham Wood, Toronto,ON,M1E1S2,Canada,43.752788,-79.189511,M1E,1S2
17 Bathurst St #4205, Toronto,ON,M5V0N1,Canada,43.637435,-79.398908,M5V,0N1
25 Finchley Rd, Toronto,ON,M9A2X4,Canada,43.657715,-79.526342,M9A,2X4
665 Queen St E #412, Toronto,ON,M4M1G6,Canada,43.658361,-79.351159,M4M,1G6
3865 Lake Shore Blvd W #217, Toronto,ON,M8W0A2,Canada,43.589859,-79.545165,M8W,0A2
270 Queens Quay W #805, Toronto,ON,M5V3J2,Canada,43.639173,-79.386389,M5V,3J2
20 Amesbury Dr, Toronto,ON,M6M4H4,Canada,43.701261,-79.481426,M6M,4H4
160 The Donway W #403, Toronto,ON,M3C2G1,Canada,43.73383,-79.34844,M3C,2G1
30 Western Battery Rd #316, Toronto,ON,M6K3N9,Canada,43.639688,-79.412489,M6K,3N9
56 Grierson Rd, Toronto,ON,M9W3R3,Canada,43.715143,-79.545919,M9W,3R3
41 Markbrook Ln #614, Toronto,ON,M9V5E6,Canada,43.75828,-79.58639,M9V,5E6
600 Fleet St #717, Toronto,ON,M5V1B7,Canada,43.636698,-79.400078,M5V,1B7
170 Bayview Ave #711, Toronto,ON,M5A0M4,Canada,43.655305,-79.35375,M5A,0M4
11 Wellesley St W #612, Toronto,ON,M4Y0G4,Canada,43.664526,-79.385583,M4Y,0G4
295 Downsview Park Blvd, Toronto,ON,M3K0B6,Canada,43.73797,-79.476415,M3K,0B6
333 Adelaide St E #410, Toronto,ON,M5A4T4,Canada,43.651843,-79.369052,M5A,4T4
62 Schell Ave, Toronto,ON,M6E2S9,Canada,43.698338,-79.45509,M6E,2S9
64 Glengowan Rd, Toronto,ON,M4N1G4,Canada,43.721159,-79.392357,M4N,1G4
501 Adelaide St W #1108, Toronto,ON,M5V0R3,Canada,43.645422,-79.401295,M5V,0R3
260 Queens Quay W #1304, Toronto,ON,M5J2N3,Canada,43.63928,-79.385715,M5J,2N3
70 Annie Craig Dr #4802, Toronto,ON,M8V0G2,Canada,43.624739,-79.478962,M8V,0G2
801 King St W #325, Toronto,ON,M5V3C9,Canada,43.642734,-79.40707,M5V,3C9
43 Millburn Dr, Toronto,ON,M9B2W8,Canada,43.663271,-79.56261,M9B,2W8
32 Lyme Regis Cres, Toronto,ON,M1M1E4,Canada,43.718741,-79.228161,M1M,1E4
278 Dawlish Ave, Toronto,ON,M4N1J5,Canada,43.724134,-79.383185,M4N,1J5
52 Amiens Rd, Toronto,ON,M1E3S8,Canada,43.776204,-79.188186,M1E,3S8
120 Harrison Garden Blvd #2003, Toronto,ON,M2N,Canada,43.757733,-79.403149,M2N,M2N
21 Grand Magazine St #1907, Toronto,ON,M5V1B5,Canada,43.636466,-79.402056,M5V,1B5
215 Fort York Blvd #301, Toronto,ON,M5V4A2,Canada,43.636466,-79.404588,M5V,4A2
11 Beaumont Rd, Toronto,ON,M4W1V4,Canada,43.679924,-79.371459,M4W,1V4
5 Dewbourne Ave, Toronto,ON,M5P1Z1,Canada,43.699375,-79.420442,M5P,1Z1
542 Delaware Ave N, Toronto,ON,M6H2V2,Canada,43.672077,-79.432791,M6H,2V2
16 Yonge St SUITE 4006, Toronto,ON,M5E2A3,Canada,43.64325,-79.3764,M5E,2A3
185 Roehampton Ave #3201, Toronto,ON,M4P0C6,Canada,43.708956,-79.392982,M4P,0C6
3845 Lake Shore Blvd W UNIT 1601, Toronto,ON,M8W4Y3,Canada,43.590672,-79.544208,M8W,4Y3
50 Lombard St #1903, Toronto,ON,M5C2X4,Canada,43.651856,-79.376003,M5C,2X4
455 Wellington St W #509, Toronto,ON,M5V0V8,Canada,43.643152,-79.397171,M5V,0V8
87 Peter St UNIT 2915, Toronto,ON,M5V2G4,Canada,43.646776,-79.392435,M5V,2G4
408 Browns Line E #308, Toronto,ON,M8W0C3,Canada,43.601488,-79.54545,M8W,0C3
40 Homewood Ave #2803, Toronto,ON,M4Y2K2,Canada,43.664229,-79.375535,M4Y,2K2
1150 Briar Hill Ave #306, Toronto,ON,M6B0A9,Canada,43.703091,-79.452004,M6B,0A9
369 Albany Ave #5, Toronto,ON,M5R3E2,Canada,43.676334,-79.414275,M5R,3E2
38 Joe Shuster Way #106, Toronto,ON,M6K0A5,Canada,43.640417,-79.424649,M6K,0A5
1926 Lake Shore Blvd W #1805, Toronto,ON,M6S1A1,Canada,43.635856,-79.467386,M6S,1A1
60 Town Centre Ct #306, Toronto,ON,M1P0B1,Canada,43.7734,-79.255862,M1P,0B1
190 Borough Dr #302, Toronto,ON,M1P0B6,Canada,43.772874,-79.253995,M1P,0B6
1400 Kingston Rd #501, Toronto,ON,M1N0C2,Canada,43.686959,-79.272431,M1N,0C2
102 George Henry Blvd #15, Toronto,ON,M2J1E7,Canada,43.77432,-79.348116,M2J,1E7
9 Valhalla Inn Rd #501, Toronto,ON,M9B0B2,Canada,43.639837,-79.559418,M9B,0B2
31 Twyford Rd, Toronto,ON,M9A1W3,Canada,43.665533,-79.539719,M9A,1W3
861 Sheppard Ave W #15, Toronto,ON,M3H2T5,Canada,43.752102,-79.453675,M3H,2T5
125 Western Battery Rd #2207, Toronto,ON,M6K3R8,Canada,43.639868,-79.416734,M6K,3R8
3220 Sheppard Ave E #318, Toronto,ON,M1T0B7,Canada,43.777968,-79.312305,M1T,0B7
1 Oregon Trl, Toronto,ON,M9B1P4,Canada,43.639976,-79.552582,M9B,1P4
111 Newton Dr, Toronto,ON,M2M2N2,Canada,43.794606,-79.410102,M2M,2N2
278 Bloor St E #905, Toronto,ON,M4W3M4,Canada,43.672265,-79.380454,M4W,3M4
30 Anglesey Blvd #G2, Toronto,ON,M9A3B5,Canada,43.663784,-79.522679,M9A,3B5
55 Stewart St UNIT 625, Toronto,ON,M5V2V1,Canada,43.643237,-79.401278,M5V,2V1
2191 Yonge St #1708, Toronto,ON,M4S3H8,Canada,43.705666,-79.39739,M4S,3H8
271 Park Home Ave, Toronto,ON,M2R1A1,Canada,43.764323,-79.434004,M2R,1A1
1 King St W #2402, Toronto,ON,M5H1A1,Canada,43.648987,-79.37807,M5H,1A1
34 Greengate Rd, Toronto,ON,M3B1E8,Canada,43.739958,-79.364228,M3B,1E8
10 Wilby Cres #1603, Toronto,ON,M9N0B6,Canada,43.697794,-79.512333,M9N,0B6
85 Drewry Ave, Toronto,ON,M2M1C9,Canada,43.78598,-79.421249,M2M,1C9
5 Whitehall Rd, Toronto,ON,M4W2C5,Canada,43.683971,-79.38242,M4W,2C5
66 Fontainbleau Dr, Toronto,ON,M2M1N9,Canada,43.793138,-79.432029,M2M,1N9
57 Saint Joseph St #523, Toronto,ON,M5S0C5,Canada,43.665388,-79.388021,M5S,0C5
365 Beech Ave #219, Toronto,ON,M4E0C2,Canada,43.680037,-79.29045,M4E,0C2
80 Palace Pier Ct #101, Toronto,ON,M8V4C1,Canada,43.630714,-79.474027,M8V,4C1
100 Harrison Garden Blvd #L02, Toronto,ON,M2N0C2,Canada,43.756982,-79.4044,M2N,0C2
70 Forest Manor Rd #3410, Toronto,ON,M2J0A9,Canada,43.689144,-79.404683,M2J,0A9
284 Ellis Ave, Toronto,ON,M6S2X2,Canada,43.645729,-79.472703,M6S,2X2
86 17th St, Toronto,ON,M8V3K4,Canada,43.602095,-79.517563,M8V,3K4
3 Dailing Gate, Toronto,ON,M1B1Z3,Canada,43.791382,-79.22969,M1B,1Z3
120 Parliament St PENTHOUSE 2404, Toronto,ON,M5A0N6,Canada,43.653856,-79.363933,M5A,0N6
218 Pleasant Ave, Toronto,ON,M2M1M5,Canada,43.790667,-79.430102,M2M,1M5
210 Westmount Ave, Toronto,ON,M6E3M8,Canada,43.680554,-79.443098,M6E,3M8
11 Carisbrooke Sq, Toronto,ON,M1B4M2,Canada,43.81623,-79.214484,M1B,4M2
2335 1/2 Gerrard St E, Toronto,ON,M4E2E6,Canada,43.685302,-79.293178,M4E,2E6
160 Flemington Rd #512, Toronto,ON,M6A0A9,Canada,43.723077,-79.448251,M6A,0A9
39 Bushell Ave, Toronto,ON,M4M3B8,Canada,43.671322,-79.334877,M4M,3B8
133 Westminster Ave, Toronto,ON,M6R1N6,Canada,43.646774,-79.450533,M6R,1N6
11B Crawford St #11B, Toronto,ON,M6K3M3,Canada,43.640922,-79.413315,M6K,3M3
86 Sloping Sky Mews #TOWNHOUSE 6, Toronto,ON,M5V0B3,Canada,43.636887,-79.403026,M5V,0B3
993 Queen St W #223, Toronto,ON,M6J1H2,Canada,43.644646,-79.415649,M6J,1H2
32 Brookfield Rd, Toronto,ON,M2P1A9,Canada,43.741523,-79.400732,M2P,1A9
535 Brunswick Ave, Toronto,ON,M5R2Z6,Canada,43.673818,-79.410137,M5R,2Z6
88 Anthony Rd, Toronto,ON,M3K1B4,Canada,43.729155,-79.466301,M3K,1B4
36 Park Lawn Rd #203, Toronto,ON,M8V0E5,Canada,43.623467,-79.484321,M8V,0E5
82 Greensides Ave, Toronto,ON,M6G3P7,Canada,43.679843,-79.429992,M6G,3P7
259 Claremont St, Toronto,ON,M6J2N1,Canada,43.652938,-79.412094,M6J,2N1
570 Wellington St W #13A, Toronto,ON,M5V2X5,Canada,43.642841,-79.403108,M5V,2X5
51 Lady Bank Rd #501, Toronto,ON,M8Z0C9,Canada,43.624575,-79.511602,M8Z,0C9
8 The Esplanade #1908, Toronto,ON,M5E0A6,Canada,43.646227,-79.376346,M5E,0A6
58 Lytton Blvd, Toronto,ON,M4R1L3,Canada,43.71588,-79.403981,M4R,1L3
676 Richmond St W #106, Toronto,ON,M6J1C3,Canada,43.646269,-79.405919,M6J,1C3
80 North Dr, Toronto,ON,M9A4R2,Canada,43.678079,-79.501451,M9A,4R2
8 Eglinton Ave E #1910, Toronto,ON,M4P0C1,Canada,43.707141,-79.397703,M4P,0C1
2639 Lake Shore Blvd W, Toronto,ON,M8V1G5,Canada,43.603501,-79.492054,M8V,1G5
321 Concord Ave, Toronto,ON,M6H2P7,Canada,43.662575,-79.426988,M6H,2P7
11 Park Manor Dr, Toronto,ON,M9B5C1,Canada,43.650254,-79.557219,M9B,5C1
38 Dan Leckie Way #2209, Toronto,ON,M5V2V6,Canada,43.637492,-79.398104,M5V,2V6
65 Spring Garden Ave #1802, Toronto,ON,M2N6H9,Canada,43.764832,-79.409426,M2N,6H9
83 Anthony Rd, Toronto,ON,M3K1B5,Canada,43.72897,-79.465612,M3K,1B5
31 Russell Hill Rd, Toronto,ON,M4V2S9,Canada,43.681167,-79.402842,M4V,2S9
3 Pemberton Ave #2106, Toronto,ON,M2M4M1,Canada,43.780486,-79.413866,M2M,4M1
17 Regal Rd, Toronto,ON,M6H2J5,Canada,43.674962,-79.433701,M6H,2J5
60 Brian Harrison Way #302, Toronto,ON,M1P5J5,Canada,43.774024,-79.258007,M1P,5J5
399 Lake Promenade, Toronto,ON,M8W1C3,Canada,43.586922,-79.539539,M8W,1C3
141 Eastwood Ave, Toronto,ON,M1N3H4,Canada,43.694987,-79.269234,M1N,3H4
19 Western Battery Rd #1803, Toronto,ON,M6K3N9,Canada,43.63957,-79.411329,M6K,3N9
43 Rusholme Rd, Toronto,ON,M6J3H3,Canada,43.650755,-79.426961,M6J,3H3
6 Newmarket Ave, Toronto,ON,M4C1V7,Canada,43.689384,-79.307654,M4C,1V7
7 Ashley Park Rd, Toronto,ON,M9A4C9,Canada,43.662619,-79.516617,M9A,4C9
54 Judy Sgro Ave, Toronto,ON,M3L0E4,Canada,43.727778,-79.523194,M3L,0E4
50 Yorkville Ave #4403, Toronto,ON,M4W0A3,Canada,43.671667,-79.389667,M4W,0A3
100 Ardwold Gate, Toronto,ON,M5R2W2,Canada,43.680418,-79.409322,M5R,2W2
111 Knowles Dr, Toronto,ON,M1X1T4,Canada,43.825488,-79.213639,M1X,1T4
231 Falstaff Ave, Toronto,ON,M6L2G6,Canada,43.718179,-79.490279,M6L,2G6
50 Bruyeres Mews #718, Toronto,ON,M5V0H8,Canada,43.637658,-79.402351,M5V,0H8
48 Lockwood Rd, Toronto,ON,M4L3M8,Canada,43.669468,-79.310099,M4L,3M8
200 Manitoba St #210, Toronto,ON,M8Y3Y9,Canada,43.623676,-79.492078,M8Y,3Y9
1787 Saint Clair Ave W #917, Toronto,ON,M6N1H9,Canada,43.673553,-79.461868,M6N,1H9
84 Chad Cres, Toronto,ON,M1B2Z6,Canada,43.814889,-79.209796,M1B,2Z6
176 Castlefield Ave, Toronto,ON,M4R1G7,Canada,43.710283,-79.40786,M4R,1G7
42 Fishleigh Dr, Toronto,ON,M1N1H2,Canada,43.700556,-79.248654,M1N,1H2
43 Florida Cres, Toronto,ON,M9M1P4,Canada,43.735016,-79.543367,M9M,1P4
34 Kippendavie Ave, Toronto,ON,M4L3R4,Canada,43.666604,-79.303104,M4L,3R4
203 Parkmount Rd, Toronto,ON,M4J4V5,Canada,43.682084,-79.32556,M4J,4V5
7 Doncaster Ave, Toronto,ON,M4C1Y4,Canada,43.690493,-79.308029,M4C,1Y4
42 Charles St E #2810, Toronto,ON,M4Y0B7,Canada,43.669355,-79.384182,M4Y,0B7
1659 Gerrard St E, Toronto,ON,M4L2A9,Canada,43.675632,-79.31876,M4L,2A9
29 Tarsus Cres, Toronto,ON,M1C3W6,Canada,43.79372,-79.183513,M1C,3W6
101 Dunloe Rd, Toronto,ON,M5P2T7,Canada,43.696392,-79.413647,M5P,2T7
2 Bellefair Ave UNIT 306, Toronto,ON,M4L3T8,Canada,43.670263,-79.300053,M4L,3T8
225 Sumach St #2511, Toronto,ON,M5A0P8,Canada,43.661007,-79.360355,M5A,0P8
20 Edward St #1719, Toronto,ON,M5G0C5,Canada,43.657059,-79.382187,M5G,0C5
117 Omni Dr #15, Toronto,ON,M1P5A5,Canada,43.771256,-79.261225,M1P,5A5
8 Telegram Mews #622, Toronto,ON,M5V3Z5,Canada,43.640493,-79.394916,M5V,3Z5
104 Albany Ave, Toronto,ON,M5R3C4,Canada,43.668716,-79.411569,M5R,3C4
4060 Lawrence Ave E #108, Toronto,ON,M1E4V4,Canada,43.766351,-79.197594,M1E,4V4
20 Blue Jays Way #1106, Toronto,ON,M5V3W6,Canada,43.643797,-79.391668,M5V,3W6
17 Zorra St #701, Toronto,ON,M8Z0C8,Canada,43.621292,-79.52083,M8Z,0C8
897 Sheppard Ave W #202, Toronto,ON,M3H2T4,Canada,43.751649,-79.455201,M3H,2T4
77 Charles St W #906, Toronto,ON,M5S0B2,Canada,43.667717,-79.390434,M5S,0B2
125 Alicewood Ct, Toronto,ON,M9V3Y1,Canada,43.730833,-79.596435,M9V,3Y1
300 Mill Rd #A31, Toronto,ON,M9C4W7,Canada,43.638084,-79.583984,M9C,4W7
40 Fern Ave, Toronto,ON,M6R1K1,Canada,43.646039,-79.441856,M6R,1K1
290 Adelaide St W #2405, Toronto,ON,M5V1N1,Canada,43.647816,-79.391122,M5V,1N1
78 Harrison Garden Blvd #2305, Toronto,ON,M2N7E2,Canada,43.756049,-79.407113,M2N,7E2
104 Natal Ave, Toronto,ON,M1N3V6,Canada,43.714075,-79.254723,M1N,3V6
214 Antibes Dr, Toronto,ON,M2R3H8,Canada,43.781975,-79.448556,M2R,3H8
503 Beecroft Rd #515, Toronto,ON,M2N0A2,Canada,43.778232,-79.417772,M2N,0A2
163 Brickworks Ln, Toronto,ON,M6N5H8,Canada,43.675475,-79.468816,M6N,5H8
56 Amiens Rd, Toronto,ON,M1E3S8,Canada,43.776434,-79.188258,M1E,3S8
50 Ordnance St #1703, Toronto,ON,M6K0C9,Canada,43.639789,-79.409842,M6K,0C9
140 Brookside Dr, Toronto,ON,M4E2M2,Canada,43.680619,-79.306407,M4E,2M2
130 River St #2806, Toronto,ON,M5A0R8,Canada,43.661484,-79.358579,M5A,0R8
2885 Bayview Ave UNIT 717, Toronto,ON,M2K0A3,Canada,43.768608,-79.388063,M2K,0A3
20 Gladstone Ave #417, Toronto,ON,M6J0E9,Canada,43.643481,-79.427721,M6J,0E9
570 Oriole Pkwy, Toronto,ON,M4R2C2,Canada,43.705679,-79.406974,M4R,2C2
23 Radwell Cres, Toronto,ON,M1V2J4,Canada,43.81922,-79.289585,M1V,2J4
1603 Eglinton Ave W #504, Toronto,ON,M6E0A1,Canada,43.697042,-79.443072,M6E,0A1
801 Midland Ave, Toronto,ON,M1K4E8,Canada,43.733573,-79.257355,M1K,4E8
48 Gondola Cres, Toronto,ON,M1G2J3,Canada,43.767244,-79.209421,M1G,2J3
314 Rosemary Rd, Toronto,ON,M5P3E3,Canada,43.696839,-79.421627,M5P,3E3
18 Oaken Gtwy #18, North York,ON,M2P2A1,Canada,43.753729,-79.405545,M2P,2A1
88 Turtle Island Rd #5, Toronto,ON,M6A2M7,Canada,43.722474,-79.444115,M6A,2M7
2 Garden Cir, Toronto,ON,M4G2X8,Canada,43.694975,-79.375138,M4G,2X8
4978 Yonge St UNIT 1911, Toronto,ON,M2N7G8,Canada,43.76562,-79.412725,M2N,7G8
18 Earnbridge St, Toronto,ON,M6K1N3,Canada,43.643518,-79.432357,M6K,1N3
73 Maclean Ave, Toronto,ON,M4E2Z8,Canada,43.670799,-79.290289,M4E,2Z8
3 Biggar Ave, Toronto,ON,M6H2N5,Canada,43.678959,-79.433611,M6H,2N5
20 Fletcher Pl, Toronto,ON,M9R1K6,Canada,43.6912,-79.546078,M9R,1K6
20 Niagara St #PENTHOUSE 1, Toronto,ON,M5V3L8,Canada,43.642374,-79.400916,M5V,3L8
474 Russell Hill Rd, Toronto,ON,M5P2S7,Canada,43.697789,-79.413426,M5P,2S7
1346 Danforth Rd #901, Toronto,ON,M1J0A9,Canada,43.743558,-79.244826,M1J,0A9
112 Laurel Ave, Toronto,ON,M1K3J9,Canada,43.72521,-79.258113,M1K,3J9
20 Joe Shuster Way #202, Toronto,ON,M6K0A3,Canada,43.640144,-79.423917,M6K,0A3
11 Kingsway Cres, Toronto,ON,M8X2P9,Canada,43.653748,-79.504572,M8X,2P9
270 Brighton Ave, Toronto,ON,M3H4E9,Canada,43.757593,-79.458141,M3H,4E9
38 S Kingslea Dr, Toronto,ON,M8Y2A4,Canada,43.641624,-79.496401,M8Y,2A4
63 Ward St, Toronto,ON,M6H4A5,Canada,43.664115,-79.446402,M6H,4A5
816 Lansdowne Ave #1015, Toronto,ON,M6H4K6,Canada,43.665661,-79.447378,M6H,4K6
80 Chiswell Cres, Toronto,ON,M2N6E1,Canada,43.780901,-79.391894,M2N,6E1
6 Esterbrooke Ave #82, Toronto,ON,M2J2C2,Canada,43.779624,-79.352763,M2J,2C2
160 Howland Ave, Toronto,ON,M5R3B6,Canada,43.670989,-79.411014,M5R,3B6
58 Marine Parade Dr #1110, Toronto,ON,M8V4G1,Canada,43.627469,-79.477128,M8V,4G1
223 Kennedy Rd, Toronto,ON,M1N3P4,Canada,43.706363,-79.257097,M1N,3P4
28A Wilberton Rd, Toronto,ON,M4V1Z3,Canada,43.694932,-79.401617,M4V,1Z3
20 Stewart St #204, Toronto,ON,M5V1H6,Canada,43.643775,-79.400667,M5V,1H6
17 Maughan Cres, Toronto,ON,M4L3E4,Canada,43.670022,-79.316003,M4L,3E4
101 Clearbrooke Cir, Toronto,ON,M9W2E9,Canada,43.721799,-79.561522,M9W,2E9
85 The Bridle Path, Toronto,ON,M3C2P1,Canada,43.732687,-79.364782,M3C,2P1
85 Emmett Ave #1012, Toronto,ON,M6M5A2,Canada,43.686963,-79.50605,M6M,5A2
212 Saint Clair Ave W, Toronto,ON,M4V1R2,Canada,43.686366,-79.404449,M4V,1R2
11 Thornwood Rd, Toronto,ON,M4W2R8,Canada,43.681926,-79.385029,M4W,2R8
10 Blakley Ave, Toronto,ON,M6N3Y5,Canada,43.671732,-79.481226,M6N,3Y5
17 Strath Humber Ct, Toronto,ON,M9A4C8,Canada,43.661667,-79.515797,M9A,4C8
