Address,Price,Neighbourhood,City,Latitude,Longitude,Bedrooms,Bathrooms,Home Type
33 1425 Lamey's Mill Road,"$599,900",False Creek,Vancouver,49.268443,-123.135844,1 bd,1,Apt/Condo
704 1000 Beach Avenue,"$1,498,000",Yaletown,Vancouver,49.275624,-123.134213,2 bd,2,Apt/Condo
4907 Walden Street,"$1,899,000",Main,Vancouver,49.240342,-123.100534,3 bd,2,House
201 874 W 6th Avenue,"$950,000",Fairview,Vancouver,49.265695,-123.123456,2 bd,2,Apt/Condo
1128 E Pender Street,"$1,175,000",Strathcona,Vancouver,49.280291,-123.080584,2 bd,2,Duplex
205 1330 Hornby Street,"$599,999",Downtown West,Vancouver,49.276772,-123.130194,1 bd,1,Apt/Condo
104 1933 W 5th Avenue,"$699,000",Kitsilano,Vancouver,49.267493,-123.148843,1 bd,1,Apt/Condo
2501 7433 Cambie Street,"$768,900",South Cambie,Vancouver,49.217389,-123.117849,1 bd,1,Apt/Condo
18 6788 Oak Street,"$1,979,000",South Cambie,Vancouver,50.57918,-126.921088,3 bd,3,Townhouse
1371 E 63rd Avenue,"$1,888,000",South Vancouver,Vancouver,49.212623,-123.078173,5 bd,4,Duplex
1101 433 SW Marine Drive,"$890,000",Marpole,Vancouver,49.203785,-123.13158,2 bd,2,Apt/Condo
1136 E 26th Avenue,"$1,548,000",Knight,Vancouver,49.247468,-123.081513,2 bd,3,Duplex
108 7520 Columbia Street,"$818,000",Marpole,Vancouver,49.216088,-123.111695,2 bd,2,Apt/Condo
2 2444 Napier Street,"$1,649,000",Renfrew,Vancouver,49.27472,-123.055579,3 bd,3,Duplex
455 1483 E King Edward Avenue,"$618,000",Knight,Vancouver,49.248458,-123.09522,1 bd,1,Apt/Condo
305 222 E 30th Avenue,"$699,000",Main,Vancouver,49.24304,-123.100965,1 bd,1,Apt/Condo
3504 1288 West Georgia,"$1,699,000",West End,Vancouver,49.278491,-123.028053,2 bd,2,Apt/Condo
420 3563 Ross Drive,"$1,120,000",University (Ubc),Vancouver,49.228977,-122.88673,2 bd,2,Apt/Condo
3529 W 34th Avenue,"$4,950,000",Dunbar,Vancouver,49.24167,-123.183031,5 bd,5,House
3707 Hudson Street,"$7,980,000",Shaughnessy,Vancouver,49.252101,-123.134899,5 bd,4,House
202 8680 Fremlin Street,"$455,000",Marpole,Vancouver,49.207229,-123.1273,1 bd,1,Apt/Condo
502 1616 W 13th Avenue,"$888,800",Fairview,Vancouver,49.259605,-123.141727,2 bd,2,Apt/Condo
1000 499 Pacific Street,"$7,498,000",Yaletown,Vancouver,49.273876,-123.126998,3 bd,5,Apt/Condo
5470 Clarendon Street,"$1,788,800",Collingwood,Vancouver,49.23501,-123.055135,5 bd,4,Duplex
3902 1033 Marinaside Crescent,"$2,375,000",Yaletown,Vancouver,49.273637,-123.116652,2 bd,2,Apt/Condo
1332 W 47th Avenue,"$5,990,000",South Granville,Vancouver,49.228392,-123.135827,5 bd,7,House
604 1315 Cardero Street,"$1,198,000",West End,Vancouver,49.284113,-123.140719,1 bd,2,Apt/Condo
2001 198 Aquarius Mews,"$839,000",Yaletown,Vancouver,49.273824,-123.119616,1 bd,1,Apt/Condo
108 8622 Selkirk Street,"$429,000",Marpole,Vancouver,49.208143,-123.132918,1 bd,1,Apt/Condo
301 4375 W 10th Avenue,"$799,000",Point Grey,Vancouver,49.264023,-123.205245,1 bd,1,Apt/Condo
1603 939 Expo Boulevard,"$650,000",Yaletown,Vancouver,49.277722,-123.110809,1 bd,1,Apt/Condo
563 W 26th Avenue,"$2,133,900",Cambie,Vancouver,49.248237,-123.117478,3 bd,3,Townhouse
3003 8131 Nunavut Lane,"$598,800",Marpole,Vancouver,49.211335,-123.116532,1 bd,1,Apt/Condo
908 189 Keefer Street,"$869,900",Downtown East,Vancouver,49.279725,-123.100172,2 bd,2,Apt/Condo
102 1450 E 7 Avenue,"$699,900",Grandview East,Vancouver,49.263943,-123.07432,2 bd,1,Apt/Condo
2353 Kingsway,"$2,999,999",Collingwood,Vancouver,49.241523,-123.056622,4 bd,2,House
2375 Kingsway,"$2,999,999",Collingwood,Vancouver,49.241365,-123.056284,6 bd,4,House
2335 Kingsway,"$2,999,999",Collingwood,Vancouver,49.24168,-123.056956,4 bd,2,House
2361 Kingsway,"$2,999,999",Collingwood,Vancouver,49.241469,-123.056502,6 bd,4,House
104 2333 Eton Street,"$734,900",Hastings,Vancouver,49.287763,-123.057246,2 bd,1,Apt/Condo
3601 1438 Richards Street,"$3,888,000",Yaletown,Vancouver,49.273201,-123.12775,3 bd,3,Apt/Condo
210 2408 Grant Street,"$599,000",Renfrew,Vancouver,49.271044,-123.056147,1 bd,1,Apt/Condo
3303 Venables Street,"$2,098,000",Renfrew,Vancouver,49.276859,-123.033177,5 bd,3,House
202 983 E Hastings Street,"$669,000",Strathcona,Vancouver,49.282178,-123.110244,2 bd,1,Apt/Condo
2304 183 Keefer Place,"$1,295,000",Downtown West,Vancouver,54.505508,-128.585845,3 bd,2,Apt/Condo
756 W 26th Avenue,"$1,698,000",Cambie,Vancouver,49.247789,-123.121506,2 bd,4,Townhouse
2 2138 W 48th Avenue,"$2,498,000",Kerrisdale,Vancouver,49.227865,-123.157185,3 bd,2,Duplex
409 210 E 5th Avenue,"$1,399,000",Mount Pleasant East,Vancouver,49.266061,-123.100355,2 bd,2,Apt/Condo
301 1771 Nelson Street,"$824,900",West End,Vancouver,49.289313,-123.137977,2 bd,2,Apt/Condo
202 1771 Nelson Street,"$834,900",West End,Vancouver,49.289313,-123.137977,2 bd,2,Apt/Condo
501 1255 Main Street,"$1,098,000",Downtown East,Vancouver,49.273589,-123.100527,2 bd,2,Apt/Condo
2 1019 E 39th Avenue,"$1,739,000",Fraser East,Vancouver,49.234971,-123.084294,3 bd,2,Duplex
Ph2 950 Bidwell Street,"$1,249,000",West End,Vancouver,49.288731,-123.136078,2 bd,2,Apt/Condo
87 E Cordova Street,"$1,188,000",Downtown East,Vancouver,49.282073,-123.102643,1 bd,1,Apt/Condo
2801 535 Smithe Street,"$1,249,888",Downtown West,Vancouver,49.279553,-123.119352,2 bd,1,Apt/Condo
3315 Knight Street,"$1,298,000",Knight,Vancouver,49.255054,-123.076285,3 bd,2,House
203 3368 Main Street,"$1,049,000",Main,Vancouver,49.255195,-123.100884,3 bd,2,Townhouse
411 298 E 11th Avenue,"$709,000",Mount Pleasant East,Vancouver,49.260833,-123.098885,1 bd,1,Apt/Condo
305 188 E 32nd Avenue,"$739,000",Main,Vancouver,49.2418,-123.10183,1 bd,1,Apt/Condo
460 E 5th Avenue,"$1,499,000",Mount Pleasant East,Vancouver,49.265884,-123.093391,3 bd,3,Townhouse
1501 845 Chilco Street,"$3,850,000",West End,Vancouver,49.292989,-123.139433,4 bd,3,Apt/Condo
803 983 E Hastings Street,"$599,900",Strathcona,Vancouver,49.281393,-123.08681,1 bd,1,Apt/Condo
4178 Slocan Street,"$1,398,000",Renfrew Heights,Vancouver,49.24732,-123.049193,3 bd,4,Duplex
636 E 51st Avenue,"$2,698,000",South Vancouver,Vancouver,49.223331,-123.092014,8 bd,4,House
104 5089 Quebec Street,"$1,399,800",Main,Vancouver,49.239403,-123.103206,3 bd,2,Apt/Condo
1504 1775 Quebec Street,"$699,000",Mount Pleasant East,Vancouver,49.269514,-123.103314,1 bd,1,Apt/Condo
311 1975 Pendrell Street,"$679,000",West End,Vancouver,49.289836,-123.143061,1 bd,1,Apt/Condo
1206 E 22nd Avenue,"$1,499,000",Knight,Vancouver,49.250588,-123.079709,5 bd,4,Multifamily
404 E 46th Avenue,"$1,598,800",Fraser East,Vancouver,49.228115,-123.097251,3 bd,1,House
604 55 Alexander Street,"$569,000",Downtown East,Vancouver,49.283791,-123.102967,1 bd,1,Apt/Condo
2689 Brightwood Place,"$2,650,000",Fraserview East,Vancouver,49.21552,-123.053135,3 bd,2,House
920 W 49th Avenue,"$1,699,900",South Cambie,Vancouver,49.226201,-123.127287,3 bd,3,Townhouse
408 3451 Sawmill Crescent,"$768,800",South Marine,Vancouver,49.205837,-123.028152,2 bd,2,Apt/Condo
405 288 E 8th Avenue,"$879,000",Mount Pleasant East,Vancouver,49.263313,-123.09931,2 bd,1,Apt/Condo
101 830 E 7th Avenue,"$499,900",Mount Pleasant East,Vancouver,49.26404,-123.086412,1 bd,1,Apt/Condo
602 5629 Birney Avenue,"$869,000",University (Ubc),Vancouver,49.253734,-123.234634,1 bd,1,Apt/Condo
303 2450 Cornwall Avenue,"$619,000",Kitsilano,Vancouver,49.272411,-123.161207,1 bd,1,Apt/Condo
309 285 E 10th Avenue,"$649,800",Mount Pleasant East,Vancouver,49.262275,-123.099907,1 bd,1,Apt/Condo
201 1147 Nelson Street,"$899,800",West End,Vancouver,49.283404,-123.128962,2 bd,2,Apt/Condo
3007 W 32nd Avenue,"$3,738,000",Mackenzie Heights,Vancouver,49.243534,-123.173232,5 bd,5,House
1479 E King Edward Avenue,"$1,199,000",Knight,Vancouver,49.248251,-123.073835,2 bd,3,Townhouse
101 710 E 6th Avenue,"$649,000",Mount Pleasant East,Vancouver,49.264962,-123.088729,1 bd,1,Apt/Condo
2901 1483 Homer Street,"$1,699,000",Yaletown,Vancouver,49.272027,-123.126813,2 bd,2,Apt/Condo
2043 W 45th Avenue,"$2,088,000",Kerrisdale,Vancouver,49.231092,-123.153254,3 bd,2,House
1107 822 Homer Street,"$825,000",Downtown West,Vancouver,49.279045,-123.116954,2 bd,2,Apt/Condo
3256 E Georgia Street,"$1,425,000",Renfrew,Vancouver,49.278011,-123.034836,2 bd,2,House
3205 Carolina Street,"$1,699,000",Fraser East,Vancouver,49.2562,-123.092081,3 bd,3,Duplex
1 1456 W 45th Avenue,"$2,195,000",South Granville,Vancouver,49.230317,-123.138647,4 bd,4,Townhouse
2703 667 Howe Street,"$999,990",Downtown West,Vancouver,49.283705,-123.119032,1 bd,1,Apt/Condo
801 1236 Bidwell Street,"$2,475,000",West End,Vancouver,49.285534,-123.140717,2 bd,2,Apt/Condo
B 3538 W 14th Avenue,"$2,498,000",Kitsilano,Vancouver,49.259539,-123.183064,3 bd,4,Duplex
1309 3430 E Kent Avenue South,"$998,000",South Marine,Vancouver,49.204897,-123.033371,2 bd,2,Apt/Condo
631 Victoria Drive,"$1,499,999",Hastings,Vancouver,49.278882,-123.065141,3 bd,3,Townhouse
1906 888 Hamilton Street,"$1,199,000",Downtown West,Vancouver,49.278011,-123.116673,2 bd,2,Apt/Condo
1116 610 Granville Street,"$668,500",Downtown West,Vancouver,49.283215,-123.116534,1 bd,1,Apt/Condo
2038 E 1st Avenue,"$1,699,000",Grandview East,Vancouver,49.26929,-123.062928,4 bd,4,Duplex
3728 Heather Street,"$3,728,000",Cambie,Vancouver,49.252237,-123.119876,6 bd,4,House
4951 Rupert Street,"$3,499,900",Collingwood,Vancouver,49.239893,-123.038926,5 bd,2,House
4939 Rupert Street,"$1,995,900",Collingwood,Vancouver,49.239988,-123.038859,4 bd,2,House
198 E 44th Avenue,"$1,250,000",Main,Vancouver,49.230136,-123.1019,3 bd,3,Duplex
205 5683 Hampton Place,"$699,999",University (Ubc),Vancouver,49.184072,-122.945818,1 bd,1,Apt/Condo
2171 Maple Street,"$3,098,000",Kitsilano,Vancouver,49.266651,-123.150738,5 bd,4,Townhouse
310 5681 Birney Avenue,"$898,000",University (Ubc),Vancouver,49.253734,-123.234634,1 bd,1,Apt/Condo
103 2256 W 7th Avenue,"$729,000",Kitsilano,Vancouver,49.265371,-123.156541,1 bd,1,Apt/Condo
4509 1289 Hornby Street,"$1,089,000",Downtown West,Vancouver,49.277708,-123.129641,1 bd,1,Apt/Condo
7789 Birch Street,"$3,299,800",Marpole,Vancouver,49.215209,-123.136627,7 bd,7,House
3186 Grant Street,"$1,828,000",Renfrew,Vancouver,49.271081,-123.036832,4 bd,4,Duplex
505 833 Homer Street,"$1,498,000",Downtown West,Vancouver,49.279404,-123.117734,2 bd,2,Apt/Condo
2798 Yale Street,"$3,450,000",Hastings Sunrise,Vancouver,49.29041,-123.047025,6 bd,4,House
2528 Napier Street,"$1,749,000",Renfrew,Vancouver,49.274736,-123.053896,5 bd,2,House
303 3220 W 4th Avenue,"$1,099,000",Kitsilano,Vancouver,49.268211,-123.176302,2 bd,2,Apt/Condo
809 1333 W Georgia Street,"$989,900",Coal Harbour,Vancouver,49.28899,-123.127532,2 bd,2,Apt/Condo
204 975 E Broadway,"$499,000",Mount Pleasant East,Vancouver,49.262724,-123.083955,1 bd,1,Apt/Condo
206 5788 Vine Street,"$718,000",Kerrisdale,Vancouver,49.233908,-123.159569,2 bd,1,Apt/Condo
304 7428 Alberta Street,"$1,498,000",South Cambie,Vancouver,49.217347,-123.112657,2 bd,2,Apt/Condo
702 1534 Harwood Street,"$327,000",West End,Vancouver,49.283224,-123.1405,1 bd,1,Apt/Condo
103 7638 Cambie Street,"$1,249,000",Marpole,Vancouver,49.215572,-123.116344,3 bd,2,Apt/Condo
2502 8131 Nunavut Lane,"$868,000",Marpole,Vancouver,49.211335,-123.116532,2 bd,2,Apt/Condo
207 1210 W 8th Avenue,"$638,000",Fairview,Vancouver,49.264145,-123.132201,1 bd,1,Apt/Condo
1718 W 61st Avenue,"$5,998,000",South Granville,Vancouver,49.215709,-123.146443,6 bd,7,House
14 Sennok Crescent,"$1,499,000",University (Ubc),Vancouver,49.235706,-123.204562,4 bd,4,House
612 7228 Adera Street,"$1,268,000",South Granville,Vancouver,49.220721,-123.143419,2 bd,2,Apt/Condo
3405 1283 Howe Street,"$689,000",Downtown West,Vancouver,49.277218,-123.128625,1 bd,1,Apt/Condo
2355 E 54th Avenue,"$3,499,000",Killarney,Vancouver,49.22056,-123.058468,8 bd,6,House
2109 1111 Alberni Street,"$1,949,000",West End,Vancouver,49.285963,-123.124175,2 bd,2,Apt/Condo
411 2020 SE Kent Avenue,"$925,000",South Marine,Vancouver,49.206558,-123.065143,2 bd,2,Apt/Condo
2688 West Mall Road 1003,"$1,188,000",Hastings Sunrise,Vancouver,49.260465,-123.252229,2 bd,2,Apt/Condo
1735 W 16 Avenue,"$2,388,000",Fairview,Vancouver,49.25741,-123.144543,2 bd,3,Duplex
156 W 62nd Avenue,"$1,999,999",Marpole,Vancouver,49.213981,-123.109152,5 bd,3,House
2850 Mackenzie Street,"$2,298,000",Kitsilano,Vancouver,49.260838,-123.169951,3 bd,4,Duplex
1 1826 E 2nd Avenue,"$1,849,999",Grandview East,Vancouver,49.268416,-123.067089,4 bd,4,Duplex
1701 1708 Ontario Street,"$1,788,000",False Creek,Vancouver,49.269924,-123.104139,2 bd,2,Apt/Condo
403 2055 Yukon Street,"$629,000",False Creek,Vancouver,49.267088,-123.113233,1 bd,1,Apt/Condo
504 36 Water Street,"$889,900",Downtown West,Vancouver,49.283372,-123.10525,1 bd,1,Apt/Condo
2002 928 Richards Street,"$549,000",Yaletown,Vancouver,49.278357,-123.119901,1 bd,1,Apt/Condo
225 5555 Victoria Drive,"$699,000",Victoria East,Vancouver,49.234005,-123.065906,2 bd,2,Apt/Condo
105 2250 SE Marine Drive,"$685,500",South Marine,Vancouver,49.20747,-123.060625,3 bd,2,Apt/Condo
319 3438 Sawmill Crescent,"$599,800",South Marine,Vancouver,49.205784,-123.032766,1 bd,1,Apt/Condo
408 480 16th Avenue,"$963,900",Fraser East,Vancouver,49.257139,-123.114427,1 bd,1,Apt/Condo
950 W 17th Avenue,"$2,898,000",Cambie,Vancouver,49.255966,-123.126198,0 bd,,Land/Lot
2903 583 Beach Crescent,"$2,098,000",Yaletown,Vancouver,49.273589,-123.129221,2 bd,2,Apt/Condo
1101 1777 Bayshore Drive,"$2,899,900",Coal Harbour,Vancouver,49.292046,-123.13078,3 bd,3,Apt/Condo
1986 E 8th Avenue,"$1,998,800",Grandview East,Vancouver,49.26297,-123.064292,3 bd,2,House
103 1040 E Broadway Avenue,"$499,900",Mount Pleasant East,Vancouver,49.262105,-123.08251,1 bd,1,Apt/Condo
688 W 29th Avenue,"$4,990,000",Cambie,Vancouver,49.244967,-123.120027,5 bd,4,House
106 3731 W 6th Avenue,"$585,800",Point Grey,Vancouver,49.26716,-123.18637,1 bd,1,Apt/Condo
209 231 E Pender Street,"$478,000",Strathcona,Vancouver,49.280617,-123.098724,1 bd,1,Apt/Condo
503 1495 Richards Street,"$1,299,000",Yaletown,Vancouver,49.283281,-123.113486,2 bd,2,Apt/Condo
202 477 W 59th Avenue,"$1,350,000",South Cambie,Vancouver,49.217183,-123.115644,3 bd,2,Apt/Condo
3132 Maple Street,"$1,995,000",Kitsilano,Vancouver,49.257641,-123.15101,2 bd,3,Townhouse
3188 Grant Street,"$1,868,000",Renfrew,Vancouver,49.271081,-123.036832,4 bd,4,Duplex
2701 1372 Seymour Street,"$1,688,000",Downtown West,Vancouver,49.27459,-123.127563,2 bd,2,Apt/Condo
213 1545 E 2nd Avenue,"$549,000",Grandview East,Vancouver,49.268967,-123.072733,1 bd,1,Apt/Condo
315 4990 Mcgeer Street,"$515,000",Collingwood,Vancouver,49.239521,-123.032816,1 bd,1,Apt/Condo
2326 Windsor Street,"$1,399,000",Mount Pleasant East,Vancouver,49.264013,-123.083002,3 bd,3,Townhouse
1108 66 W Cordova Street,"$539,000",Downtown West,Vancouver,49.282561,-123.106278,1 bd,1,Apt/Condo
8258 Tugboat Place,"$2,998,000",Southlands,Vancouver,49.210799,-123.153303,4 bd,4,House
2303 1188 Howe Street,"$798,000",Downtown West,Vancouver,49.281089,-123.122333,2 bd,2,Apt/Condo
2795 W 37th Avenue,"$5,750,000",,Vancouver,49.238765,-123.167839,5 bd,7,House
501 433 SW Marine Drive,"$918,000",Marpole,Vancouver,49.211322,-123.094523,2 bd,2,Apt/Condo
509 2105 W 46th Avenue,"$2,338,900",Kerrisdale,Vancouver,49.230383,-123.156123,2 bd,2,Apt/Condo
508 2105 W 46th Avenue,"$1,899,000",Kerrisdale,Vancouver,49.230383,-123.156123,2 bd,2,Apt/Condo
Ph3 1790 Bayshore Drive,"$5,499,800",Coal Harbour,Vancouver,49.292365,-123.132616,3 bd,4,Apt/Condo
216 455 E 16th Avenue,"$1,449,900",Mount Pleasant East,Vancouver,49.256334,-123.100145,3 bd,2,Townhouse
1005 1003 Burnaby Street,"$485,000",West End,Vancouver,49.278791,-123.130299,1 bd,1,Apt/Condo
3576 E Georgia Street,"$2,198,000",Renfrew,Vancouver,49.278003,-123.026556,6 bd,4,House
3822 W 2nd Avenue,"$4,998,000",Point Grey,Vancouver,49.270197,-123.188209,5 bd,4,House
Tha 1199 Marinaside Crescent,"$2,398,000",Yaletown,Vancouver,49.273129,-123.120638,3 bd,3,Townhouse
2984 W 31st Avenue,"$4,199,800",Mackenzie Heights,Vancouver,49.243942,-123.172383,9 bd,8,House
2731 Sophia Street,"$949,000",Mount Pleasant East,Vancouver,49.260314,-123.097529,2 bd,1,Townhouse
