Address,Price,Neighbourhood,City,Latitude,Longitude
521 - 255 The Donway W,"$729,000",Banbury Don Mills,Toronto,43.739826,-79.346034
4005 - 319 Jarvis St,"$735,000",Moss Park,Toronto,43.659814,-79.375308
258 Byng Ave E,"$1,598,000",Willowdale East,Toronto,43.780324,-79.398837
118 High Park Ave,"$1,988,000",High Park North,Toronto,43.657524,-79.467411
127 Weir Cres,"$1,150,000",West Hill,Toronto,43.773648,-79.196582
1510 - 35 Hayden St E,"$655,000",Church Yonge Corridor,Toronto,43.66955,-79.384654
1602 - 10 Deerlick Crt,"$690,000",Parkwoods Donalda,Toronto,43.759433,-79.332085
221 - 251 Jarvis St,"$488,000",Moss Park,Toronto,43.657325,-79.374332
Gph3 - 8 Widmer St,"$1,290,000",Waterfront Communities West,Toronto,43.646752,-79.391805
161 August Avenue,"$1,279,000",Oakridge,Toronto,43.652934,-79.401168
354 Ranee Ave,"$2,688,000",Yorkdale Glen Park,Toronto,43.722078,-79.455298
7b Clintwood Gate,"$898,000",Parkwoods Donalda,Toronto,43.748509,-79.312891
21 Treelawn Pkwy,"$1,398,000",Maple Leaf,Toronto,43.711385,-79.470803
1006 Mount Pleasant Rd,"$999,000",Mount Pleasant East,Toronto,43.714199,-79.392613
5 Rosehill Ave 607,"$889,000",Rosedale Moore Park,Toronto,43.686128,-79.392887
1717 - 4725 Sheppard Ave E,"$417,171",Agincourt South Malvern West,Toronto,43.790016,-79.254657
1222 - 75 Bamburgh Circ,"$615,000",Steeles,Toronto,43.815063,-79.327295
1511 - 70 Temperance St,"$850,000",Bay Street Corridor,Toronto,43.650465,-79.382209
3 Langevin Cres,"$1,267,800",Centennial Scarborough,Toronto,43.780088,-79.146196
48 Westbrook Ave,"$1,099,000",Woodbine Lumsden,Toronto,43.693539,-79.306305
408 - 155 Legion Rd N,"$550,000",Mimico,Toronto,43.623942,-79.488447
1102 - 20 Laidlaw St,"$745,000",South Parkdale,Toronto,43.640503,-79.426858
149 Sharpecroft Blvd,"$995,900",York University Heights,Toronto,43.750414,-79.489371
37 Holley Ave,"$825,000",Weston,Toronto,43.706346,-79.52964
Unit 12 - 57 Finch Avenue W,"$799,999",Willowdale West,Toronto,43.778324,-79.420761
409 - 3 Rowntree Rd,"$650,000",Mount Olive Silverstone Jamestown,Toronto,43.681222,-79.460569
Th1 - 51 Florence St,"$1,380,000",Little Portugal,Toronto,43.64541,-79.431799
73 Pettibone Sq,"$898,000",L'amoreaux,Toronto,43.798185,-79.329407
4011 - 395 Bloor St E,"$499,000",North St. Jamestown,Toronto,43.672002,-79.377438
2410 - 5500 Yonge Street,"$888,000",Willowdale West,Toronto,43.710282,-79.398838
622 - 859 The Queensway,"$699,000",Stonegate Queensway,Toronto,43.624262,-79.510293
1906 - 55 East Liberty Street,"$950,000",Niagara,Toronto,43.638615,-79.412742
Uph106 - 797 Don Mills Rd,"$569,999",Flemingdon Park,Toronto,43.7195,-79.337719
5 - 205 Bonis Ave,"$899,900",Tam O'shanter Sullivan,Toronto,43.672038,-79.345604
Ph17 - 2111 Lake Shore Blvd W,"$1,475,000",Mimico,Toronto,43.628942,-79.477778
54 Flintridge Rd,"$988,000",Dorset Park,Toronto,43.744651,-79.279067
86 Blossom Cres,"$799,999",Glenfield Jane Heights,Toronto,43.750556,-79.524858
104 - 225 The Donway W,"$1,435,000",Banbury Don Mills,Toronto,43.733391,-79.347625
405 - 2464 Weston Road,"$405,000",Weston,Toronto,43.708257,-79.534202
40 Thorny Vine Way,"$715,000",Bayview Village,Toronto,43.785524,-79.368264
811 - 33 Shore Breeze Drive,"$699,000",Mimico,Toronto,43.623886,-79.479223
613 Old Weston Rd,"$1,088,000",Weston Pellam Park,Toronto,43.678775,-79.464784
928 - 251 Jarvis Street,"$589,900",Moss Park,Toronto,43.657325,-79.374332
1205 - 6 Eva Rd,"$509,000",Etobicoke West Mall,Toronto,43.639707,-79.563077
518 - 1060 Sheppard Ave W,"$670,000",York University Heights,Toronto,43.756448,-79.435498
21 Cambridge Avenue,"$1,850,000",Playter Estates Danforth,Toronto,43.676518,-79.359986
48d Crawford St,"$979,000",Niagara,Toronto,43.642757,-79.414423
503 - 75 Dalhousie St,"$629,900",Church Yonge Corridor,Toronto,43.655627,-79.375858
2114 - 158 Front Street,"$528,000",Moss Park,Toronto,43.650304,-79.368781
2405 - 36 Zorra St,"$600,000",Islington City Centre West,Toronto,43.619778,-79.521779
818 - 1 Bedford Rd,"$878,000",Yorkville,Toronto,43.668551,-79.397124
69 Laing Street,"$1,075,000",Greenwood Coxwell,Toronto,43.663451,-79.3269
919 - 38 Joe Shuster Way,"$399,990",South Parkdale,Toronto,43.640417,-79.424649
303 - 18 Pemberton Ave,"$580,000",Newtonbrook East,Toronto,43.781492,-79.413051
906 - 47 Mutual St,"$549,900",Church Yonge Corridor,Toronto,43.654927,-79.374681
3909 - 11 Wellesley St W,"$724,900",Bay Street Corridor,Toronto,43.664526,-79.385583
1401 - 55 Charles St E,"$799,000",Church Yonge Corridor,Toronto,43.668965,-79.383546
425 Cranbrooke Avenue,"$2,695,000",Bedford Park Nortown,Toronto,43.725527,-79.419632
905 - 10 Dean Park Road,"$529,888",Rouge,Toronto,43.804217,-79.168775
18 - 73 Driftwood Ave,"$618,000",Glenfield Jane Heights,Toronto,43.940271,-79.468319
76 Dalegrove Cres,"$2,249,888",Eringate Centennial West Deane,Toronto,43.672816,-79.566661
S319 - 120 Bayview Ave,"$468,000",Waterfront Communities East,Toronto,43.74281,-79.383272
4610 - 138 Downes Street,"$579,000",Waterfront Communities East,Toronto,43.644513,-79.370966
903 - 1103 Leslie St,"$698,000",Banbury Don Mills,Toronto,43.720267,-79.347933
15 Wantanopa Crescent,"$1,338,800",Woburn,Toronto,43.765039,-79.233239
28 Wuthering Heights Road,"$899,900",West Rouge,Toronto,43.782178,-79.129475
458 Donlands Ave,"$899,900",Old East York,Toronto,43.695206,-79.343583
601 - 115 Antibes Dr,"$770,000",Westminister Branson,Toronto,43.779571,-79.445886
1310 - 55 Ontario St,"$565,000",Moss Park,Toronto,43.6535,-79.366255
1104 - 270 Dufferin St,"$699,000",South Parkdale,Toronto,43.638483,-79.427467
Lph14 - 270 Dufferin St,"$999,000",South Parkdale,Toronto,43.638483,-79.427467
206 Brandon Ave,"$1,198,000",Dovercourt Wallace Emerson Junction,Toronto,43.668907,-79.447512
1103 - 123 Portland Street,"$1,189,900",Waterfront Communities West,Toronto,43.646104,-79.400477
105 Gilroy Dr,"$999,999",Dorset Park,Toronto,43.763739,-79.281836
311 Holmes Avenue,"$3,388,000",Willowdale East,Toronto,43.782536,-79.392457
608 - 68 Merton St,"$579,000",Mount Pleasant West,Toronto,43.696825,-79.39399
74 Natal Ave,"$1,049,000",Birchcliffe Cliffside,Toronto,43.712217,-79.253922
5 - 369 Albany Avenue,"$989,000",Casa Loma,Toronto,43.676334,-79.414275
24 Masseygrove Cres,"$1,049,000",Mount Olive Silverstone Jamestown,Toronto,43.737169,-79.582814
70 Don River Boulevard,"$3,545,000",Lansing Westgate,Toronto,43.758226,-79.433172
204 - 123 Portland Street,"$599,900",Waterfront Communities West,Toronto,43.646104,-79.400477
1811 - 100 Quebec Ave,"$1,049,950",High Park North,Toronto,43.655658,-79.46824
1803 - 100 Harrison Garden Blvd,"$799,000",Willowdale East,Toronto,43.756982,-79.4044
3503 - 290 Adelaide St W,"$448,888",Waterfront Communities West,Toronto,43.647816,-79.391122
322 - 500 Richmond St W,"$649,900",Waterfront Communities West,Toronto,43.647616,-79.399165
219 - 365 Beech Ave,"$1,199,999",The Beaches,Toronto,43.680037,-79.29045
10 Yonge St 1001,"$759,000",Waterfront Communities West,Toronto,43.642491,-79.375449
5 - 40 Mendelssohn Street W,"$759,000",Clairlea Birchmount,Toronto,43.71555,-79.281694
59 Covewood St,"$1,750,000",Bayview Woods Steeles,Toronto,43.804171,-79.387861
704 - 25 Neighbourhood Lane,"$1,178,900",Stonegate Queensway,Toronto,43.638218,-79.489363
804 - 2045 Lake Shore Blvd W,"$1,198,000",Mimico,Toronto,43.6315,-79.474516
48 - 651f Warden Avenue,"$799,000",Clairlea Birchmount,Toronto,43.731911,-79.28929
94 Meighen Ave,"$998,000",O'connor Parkview,Toronto,43.703012,-79.296084
61 Dane Ave,"$3,299,000",Yorkdale Glen Park,Toronto,43.7172,-79.449548
600 Queens Quay W Sph22,"$629,500",Waterfront Communities West,Toronto,43.636856,-79.397245
1101 - 100 Hayden St,"$685,000",Church Yonge Corridor,Toronto,43.670504,-79.381661
305 - 125 Redpath Ave,"$575,000",Mount Pleasant West,Toronto,43.707523,-79.392402
244 Ashdale Ave,"$1,488,000",Greenwood Coxwell,Toronto,43.671462,-79.32173
43 Snowshoe Milway,"$13,999,900",St. Andrew Windfields,Toronto,43.750779,-79.380064
3711 - 2221 Yonge St,"$638,000",Mount Pleasant West,Toronto,43.70601,-79.397833
1706 - 133 Torresdale Ave,"$768,000",Westminister Branson,Toronto,43.778604,-79.451801
20 Cedar Avenue N,"$1,699,000",The Beaches,Toronto,43.674795,-79.287507
1474 Dufferin St,"$899,000",Dovercourt Wallace Emerson Junction,Toronto,43.672404,-79.441026
115 - 15 La Rose Ave,"$639,990",Humber Heights,Toronto,43.666151,-79.36993
1010 - 255 Richmond St,"$589,000",Moss Park,Toronto,43.652903,-79.370349
602 - 155 Legion Rd N,"$549,900",Mimico,Toronto,43.623942,-79.488447
374 Hillmount Ave,"$1,800,000",Yorkdale Glen Park,Toronto,43.706844,-79.450609
44 Anthia Dr,"$1,099,900",Humber Summit,Toronto,43.763438,-79.573234
507 - 2045 Lake Shore Blvd W,"$818,000",Mimico,Toronto,43.6315,-79.474516
#1008 - 1 Bloor St E,"$919,900",Rosedale Moore Park,Toronto,43.670123,-79.38623
1801 - 609 Avenue Rd,"$2,088,880",Yonge St. Clair,Toronto,43.689757,-79.402168
505 - 10 Muirhead Rd,"$550,000",Pleasant View,Toronto,43.778087,-79.338531
706 - 2470 Eglinton Ave W,"$559,000",Beechborough Greenbrook,Toronto,43.692452,-79.468413
136 Church Ave S,"$2,688,000",Willowdale East,Toronto,43.77592,-79.405591
28 Thorny Vineway,"$820,000",Bayview Village,Toronto,43.78527,-79.368184
1508 - 4 Spadina Ave,"$799,000",Waterfront Communities West,Toronto,43.640736,-79.393521
83 Norton Ave,"$2,988,000",Willowdale East,Toronto,43.772769,-79.408839
Lph3704 - 33 Shore Breeze Dr,"$915,000",Mimico,Toronto,43.623886,-79.479223
705 - 28 Rosebank Dr,"$759,000",Malvern,Toronto,43.792518,-79.235348
195 Valley Rd,"$4,000,000",Bridle Path Sunnybrook York Mills,Toronto,43.743651,-79.38411
210 - 4600 Steeles Ave E,"$579,000",Milliken,Toronto,43.811125,-79.360784
703 - 320 Dixon Rd,"$449,900",Kingsview Village The Westway,Toronto,43.695333,-79.554061
10 Clinton St,"$1,900,000",Trinity Bellwoods,Toronto,43.653968,-79.413663
66 - 441 Military Tr,"$719,000",Morningside,Toronto,43.737438,-79.295402
868 Broadview Ave,$1,Playter Estates Danforth,Toronto,43.679517,-79.358397
Lph05 - 660 Sheppard Ave E,"$1,498,000",Bayview Village,Toronto,43.755102,-79.44215
30 Houndtrail Dr,"$1,350,000",Highland Creek,Toronto,43.796435,-79.183864
Ph13 - 300 Balliol St,"$949,000",Mount Pleasant West,Toronto,43.699446,-79.387089
1102 - 131 Torresdale Ave S,"$879,000",Westminister Branson,Toronto,43.777999,-79.452714
802 - 575 Bloor St E,"$1,330,000",North St. Jamestown,Toronto,43.671713,-79.372389
50 Moore Park Ave,"$1,680,000",Newtonbrook West,Toronto,43.793544,-79.421923
1415 - 140 Simcoe St,"$1,159,000",Waterfront Communities West,Toronto,43.649529,-79.387146
1313 Gerrard St E,"$1,499,000",Greenwood Coxwell,Toronto,43.671078,-79.326558
509 - 1328 Birchmount Rd,"$560,000",Wexford Maryvale,Toronto,43.748506,-79.286068
1 Versailles Crt,"$4,288,888",Banbury Don Mills,Toronto,43.879039,-79.431228
3142 Dundas St W,"$1,598,000",Junction Area,Toronto,43.665722,-79.474679
227 Glendora Ave,"$1,499,000",Willowdale East,Toronto,43.762254,-79.394945
1918 - 155 Yorkville Ave,"$959,000",Yorkville,Toronto,43.670312,-79.394299
279 St. Helen's Ave S,"$1,100,000",Dufferin Grove,Toronto,43.657023,-79.443242
1102 - 100 Mornelle Crt,"$649,000",Morningside,Toronto,43.78722,-79.194677
405 - 36 Forest Manor Rd,"$899,000",Henry Farm,Toronto,43.687376,-79.404061
405 - 2221 Yonge St,"$559,000",Mount Pleasant West,Toronto,43.70601,-79.397833
27 Alma Dr,"$999,000",Humber Heights,Toronto,43.644524,-79.429162
34 Plymbridge Cres W,"$3,980,000",Bridle Path Sunnybrook York Mills,Toronto,43.740554,-79.400357
817 - 210 Victoria St,"$399,000",Church Yonge Corridor,Toronto,43.654648,-79.379127
Ph 3 - 850 Steeles Ave W,"$1,198,900",Westminister Branson,Toronto,43.777253,-79.514493
159 Cortleigh Blvd,"$5,990,000",Lawrence Park South,Toronto,43.712703,-79.412436
702 - 20 Forest Manor Rd,"$499,900",Henry Farm,Toronto,43.772715,-79.344591
1607 - 40 Richview Road,"$725,000",Humber Heights,Toronto,43.685509,-79.512472
1019 Greenwood Avenue,"$600,000",Danforth Village East York,Toronto,43.689464,-79.335576
17 Wintergreen Rd,"$1,129,000",Downsview Roding Cfb,Toronto,43.726306,-79.487547
1 & 3 Blithfield Ave,"$4,600,000",Bayview Village,Toronto,43.632284,-79.353866
14 - 43 Wild Ginger Way,"$899,000",Bathurst Manor,Toronto,43.759312,-79.440651
25 - 12 Dervock Cres,"$949,900",Bayview Village,Toronto,43.767221,-79.380966
2709 - 210 Victoria St,"$532,000",Church Yonge Corridor,Toronto,43.654648,-79.379127
1a Alder Rd,"$2,988,888",O'connor Parkview,Toronto,43.702996,-79.325256
212 Alton Avenue,"$849,999",South Riverdale,Toronto,43.66934,-79.330525
2006 - 238 Simcoe Street,"$598,000",Kensington Chinatown,Toronto,43.653695,-79.389079
Ph206 - 138 Downes Street,"$2,199,999",Waterfront Communities East,Toronto,43.644513,-79.370966
279 Reiner Rd,"$1,498,000",Downsview Roding Cfb,Toronto,43.747795,-79.458169
406 - 3303 Don Mills Rd,"$1,130,000",Don Valley Village,Toronto,43.702718,-79.334457
202 - 32 Forest Manor Rd,"$509,999",Henry Farm,Toronto,43.687987,-79.403437
1008 - 327 King St W,"$587,900",Waterfront Communities West,Toronto,43.646129,-79.391089
317 - 1 Michael Power Pl,"$479,000",Islington City Centre West,Toronto,43.644648,-79.530789
119 - 5235 Finch Ave E,"$560,000",Agincourt North,Toronto,43.809932,-79.254877
604 - 1888 Bayview Ave,"$1,275,000",Bridle Path Sunnybrook York Mills,Toronto,43.717438,-79.379154
812 - 10 Dean Park Rd,"$609,000",Rouge,Toronto,43.804217,-79.168775
10 Lloyd Manor Rd,"$1,174,800",Princess Rosethorn,Toronto,43.659547,-79.54684
741 - 38 Iannuzzi St,"$715,000",Niagara,Toronto,43.637143,-79.401524
606 - 219 Fort York Blvd,"$639,000",Niagara,Toronto,43.636659,-79.405582
3305 - 25 Town Centre Crt,"$690,000",Bendale,Toronto,43.74069,-79.486601
307 - 1100 Briar Hill Ave,"$999,900",Briar Hill Belgravia,Toronto,43.703197,-79.45076
36 Boniface Avenue,"$879,900",Elms Old Rexdale,Toronto,43.713563,-79.548718
824 - 10 Guildwood Pkwy S,"$1,200,000",Guildwood,Toronto,43.749924,-79.205
200 Snowdon Ave,"$3,950,000",Lawrence Park North,Toronto,43.732815,-79.396728
3 Blithfield Ave,"$1,588,000",Bayview Village,Toronto,43.777305,-79.389942
112 Stapleton Dr,"$1,150,000",Kingsview Village The Westway,Toronto,43.688736,-79.546318
209 - 17 Zorra St,"$629,000",Islington City Centre West,Toronto,43.621925,-79.522357
Ph63 - 60 Ann O'reilly Rd,"$1,249,900",Henry Farm,Toronto,43.774367,-79.329418
1116 - 88 Blue Jays Way,"$399,000",Waterfront Communities West,Toronto,43.64542,-79.392508
1404 - 25 Sunrise Ave,"$529,999",Victoria Village,Toronto,43.719092,-79.30226
527 - 7 Smith Cres,"$545,000",Stonegate Queensway,Toronto,43.625997,-79.505854
323 Douglas Ave,"$3,399,000",Bedford Park Nortown,Toronto,43.723361,-79.417098
2117 - 5 Sheppard Ave E,"$919,000",Willowdale East,Toronto,43.733338,-79.529127
32 Sabrina Dr,"$999,888",Willowridge Martingrove Richview,Toronto,43.69259,-79.564601
4108 - 5 St. Joseph St S,"$900,000",Bay Street Corridor,Toronto,43.665776,-79.385633
511 - 10 Old York Mills Rd,"$979,900",Bridle Path Sunnybrook York Mills,Toronto,43.725707,-79.458162
49 Orpington Cres,"$849,000",Mount Olive Silverstone Jamestown,Toronto,43.73693,-79.586988
2206 - 90 Park Lawn Road,"$860,000",Mimico,Toronto,43.624401,-79.485288
2402 - 10 Bellair St,"$9,888,000",Yorkville,Toronto,43.669886,-79.390982
130 Broadlands Blvd,"$1,458,000",Parkwoods Donalda,Toronto,43.746216,-79.3142
228 Donlands Avenue,"$1,899,000",Danforth Village East York,Toronto,43.688058,-79.340745
308 - 625 Queen Street E,"$715,000",South Riverdale,Toronto,43.658001,-79.352987
2208 - 1900 Sheppard Ave E,"$549,000",Pleasant View,Toronto,43.735924,-79.529835
Ph704 - 399 Spring Garden Ave,"$1,188,000",Willowdale East,Toronto,43.76867,-79.389623
8 Chipper Cres,"$998,800",Eglinton East,Toronto,43.73989,-79.259144
878 - 1 Greystone Walk Drive,"$609,900",Kennedy Park,Toronto,43.645415,-79.387361
42 Wilmont Dr,"$1,298,000",Black Creek,Toronto,43.760363,-79.513433
14 Franklin Ave,"$1,199,900",Lansing Westgate,Toronto,43.756456,-79.41058
4106 - 28 Freeland St,"$699,900",Waterfront Communities East,Toronto,43.643622,-79.373959
10 Rowallan Dr,"$970,000",West Hill,Toronto,43.759467,-79.185416
102 Seaton St,"$1,899,900",Moss Park,Toronto,43.657219,-79.369156
512w - 36 Lisgar St,"$545,000",Little Portugal,Toronto,43.646563,-79.425062
Ph2606 - 225 Sackville St,"$679,900",Regent Park,Toronto,43.659755,-79.36265
850 Danforth Rd,"$899,000",Kennedy Park,Toronto,43.679992,-79.340345
18 Haig Ave,"$1,899,900",Birchcliffe Cliffside,Toronto,43.68473,-79.270723
17 Bisset Ave,"$1,122,000",Alderwood,Toronto,43.608746,-79.553126
637 - 3 Everson Dr,"$649,900",Willowdale East,Toronto,43.756938,-79.406496
1711 - 330 Richmond Street W,"$689,000",Waterfront Communities West,Toronto,43.64896,-79.392576
408 - 17 Dundonald St,"$599,900",Church Yonge Corridor,Toronto,43.665904,-79.383493
5301 - 100 Harbour St W,"$649,900",Waterfront Communities West,Toronto,43.641841,-79.379461
103 Gloucester St,"$2,250,000",Church Yonge Corridor,Toronto,43.667537,-79.379921
47 Terrace Ave,"$2,988,000",Willowdale West,Toronto,43.767589,-79.441138
1510 - 19 Western Battery Rd,"$655,000",Niagara,Toronto,43.63957,-79.411329
623 - 120 Dallimore Circ,"$489,000",Banbury Don Mills,Toronto,43.730082,-79.332265
115 - 16 Litchfield Crt,"$669,000",West Humber Clairville,Toronto,43.860061,-79.319494
129 Clansman Blvd,"$1,475,000",Hillcrest Village,Toronto,43.802346,-79.361476
Ph 16 - 2020 Bathurst St,"$750,000",Forest Hill South,Toronto,43.700578,-79.425623
1009 - 5 Soudan Ave,"$849,000",Mount Pleasant West,Toronto,43.704308,-79.397063
809 - 77 Harbour Square W,"$795,500",Waterfront Communities West,Toronto,43.639992,-79.378887
3408 - 16 Brookers Lane,"$799,000",Mimico,Toronto,43.6273,-79.47901
8 Grackle Tr,"$1,099,900",Rouge,Toronto,43.828934,-79.23303
32 Highgate Rd,"$2,695,000",Kingsway South,Toronto,43.652373,-79.517571
59 Edinborough Crt,"$1,150,000",Rockcliffe Smythe,Toronto,43.672487,-79.500731
2508 - 88 Sheppard Ave E,"$768,000",Willowdale East,Toronto,43.734151,-79.537839
79 Weir Cres,"$1,099,000",West Hill,Toronto,43.775794,-79.193404
16 - 150 Pinery Tr,"$699,900",Malvern,Toronto,43.691734,-79.506841
79 Forest Grove Dr,"$4,788,000",Bayview Village,Toronto,43.779707,-79.373498
411 Main St,"$1,549,000",Crescent Town,Toronto,43.692593,-79.30357
4 Lloyd Manor Rd,"$1,098,000",Princess Rosethorn,Toronto,43.659229,-79.546535
9 Wellesley Ave,"$1,575,000",Cabbagetown South St. Jamestown,Toronto,43.669741,-79.364874
1414 - 197 Yonge St,"$569,000",Church Yonge Corridor,Toronto,43.653337,-79.37937
804 - 3 Marine Parade Dr,"$675,000",Mimico,Toronto,43.630233,-79.47622
1811 - 501 St Clair Ave W,"$848,888",Casa Loma,Toronto,43.68301,-79.417709
215 Searle Ave,"$1,789,000",Bathurst Manor,Toronto,43.756634,-79.456582
603 - 430 Roncesvalles Ave,"$799,000",High Park Swansea,Toronto,43.651984,-79.451509
5 Terrington Crt,"$1,858,000",Banbury Don Mills,Toronto,43.741986,-79.358048
