Street address,City,State,Zip/Postal Code,Country,Latitude,Longitude,Postal Code
7303 Granville St, Vancouver,BC,V6P4Y3,Canada,49.218971,-123.139713,V6P
128 Cordova St W #4004, Vancouver,BC,V6B0E6,Canada,49.282525,-123.107958,V6B
4393 Puget Dr, Vancouver,BC,V6L2V7,Canada,49.246957,-123.167479,V6L
710 Chilco St #303, Vancouver,BC,V6G2P9,Canada,49.293438,-123.137924,V6G
1468 W 14th Ave #703, Vancouver,BC,V6H0A2,Canada,49.258615,-123.137357,V6H
1048 E 7th Ave #3A, Vancouver,BC,V5T1P7,Canada,49.264003,-123.082144,V5T
33 W Pender St #504, Vancouver,BC,V6B0E5,Canada,49.281126,-123.106294,V6B
756 W 22nd Ave, Vancouver,BC,V5Z1Z7,Canada,49.251345,-123.121503,V5Z
4573 Slocan St #201, Vancouver,BC,V5R1Z8,Canada,49.243776,-123.050776,V5R
3982 W 35th Ave, Vancouver,BC,V6N2P2,Canada,49.240226,-123.193184,V6N
1633 W 8th Ave #506, Vancouver,BC,V6J5H7,Canada,49.264789,-123.141695,V6J
239 W 16th Ave, Vancouver,BC,V5Y1Y8,Canada,49.257072,-123.110548,V5Y
1510 W 33rd Ave, Vancouver,BC,V6M1A7,Canada,49.241565,-123.139727,V6M
3018 Knight St, Vancouver,BC,V5N3K4,Canada,49.257463,-123.075921,V5N
730 Hawks Ave, Vancouver,BC,V6A3J3,Canada,49.277678,-123.08707,V6A
638 W 17th Ave, Vancouver,BC,V5Z1T8,Canada,49.255812,-123.118959,V5Z
3491 E Pender St, Vancouver,BC,V5K2C9,Canada,49.280492,-123.028763,V5K
885 Cambie St #2104, Vancouver,BC,V6B0R6,Canada,49.277518,-123.116547,V6B
1502 Island Park Walk #301, Vancouver,BC,V6H3Z8,Canada,49.270581,-123.139126,V6H
1508 W 61st Ave, Vancouver,BC,V5P2J4,Canada,49.214369,-123.075481,V5P
1068 W 15th Ave, Vancouver,BC,V6H1R6,Canada,49.257605,-123.128894,V6H
2618 W 15th Ave, Vancouver,BC,V6K2Z5,Canada,49.258348,-123.165387,V6K
1534 Harwood St #702, Vancouver,BC,V6G1X9,Canada,49.283224,-123.1405,V6G
1369 E 24th Ave, Vancouver,BC,V5V1Z4,Canada,49.249252,-123.07696,V5V
1777 Bayshore Dr #1101, Vancouver,BC,V6G3H2,Canada,49.292959,-123.132023,V6G
4815 Eldorado Mews #2401, Vancouver,BC,V5R0B2,Canada,49.241221,-123.057581,V5R
431 Heatley Ave, Vancouver,BC,V6A3G6,Canada,49.280531,-123.089821,V6A
7418 Paulson St #903, Vancouver,BC,V6P0K2,Canada,49.217659,-123.119322,V6P
49 Cordova St E, Vancouver,BC,V6A1K3,Canada,49.282152,-123.103059,V6A
1450 W 6th Ave #307, Vancouver,BC,V6H4H9,Canada,49.265704,-123.137742,V6H
3707 Hudson St, Vancouver,BC,V6H3A6,Canada,49.252101,-123.134899,V6H
1188 Richards St #402, Vancouver,BC,V6B3E6,Canada,49.27599,-123.123515,V6B
2275 W 40th Ave #204, Vancouver,BC,V6M1W7,Canada,49.235845,-123.159524,V6M
45 W 15th Ave, Vancouver,BC,V5Y1X7,Canada,49.257827,-123.106234,V5Y
1188 Howe St #607, Vancouver,BC,V6Z2S8,Canada,49.278315,-123.12697,V6Z
371 E 16th Ave, Vancouver,BC,V5T2T7,Canada,49.256801,-123.096832,V5T
1501 Atlas Ln, Vancouver,BC,V6P0C9,Canada,49.220484,-123.141817,V6P
1735 W 16th Ave, Vancouver,BC,V6J2L9,Canada,49.25741,-123.144543,V6J
356 W 15th Ave #2, Vancouver,BC,V5Y1Y2,Canada,49.2575,-123.112465,V5Y
8131 Nunavut Ln #2502, Vancouver,BC,V5X0E2,Canada,49.211335,-123.116532,V5X
4615 W 4th Ave, Vancouver,BC,V6R1R6,Canada,49.269314,-123.212434,V6R
1383 W 32nd Ave, Vancouver,BC,V6H2J4,Canada,49.244418,-123.136819,V6H
6511 Chambord Pl #40, Vancouver,BC,V5S4P2,Canada,49.223979,-123.025559,V5S
2550 Garden Dr #302, Vancouver,BC,V5N4X6,Canada,49.261596,-123.057753,V5N
3225 Clark Dr, Vancouver,BC,V5V4Y1,Canada,49.255906,-123.078186,V5V
3835 Selkirk St, Vancouver,BC,V6H2Z1,Canada,49.251221,-123.132307,V6H
1111 Richards St #2705, Vancouver,BC,V6B0S3,Canada,49.277007,-123.123204,V6B
8283 Heather St, Vancouver,BC,V6P6S8,Canada,49.210851,-123.124327,V6P
1375 Graveley St, Vancouver,BC,V5L3A1,Canada,49.270826,-123.075628,V5L
557 Rupert St, Vancouver,BC,V5K4K6,Canada,49.279434,-123.034049,V5K
1239 Georgia St W #2803, Vancouver,BC,V6E4R8,Canada,49.287732,-123.125626,V6E
5755 Angus Dr, Vancouver,BC,V6M3N7,Canada,49.234042,-123.148231,V6M
1419 E 27th Ave, Vancouver,BC,V5N2W6,Canada,49.246654,-123.075422,V5N
2275 E Pender St, Vancouver,BC,V5L1X5,Canada,49.280518,-123.058328,V5L
2888 Cambie St #702, Vancouver,BC,V5Z0H3,Canada,49.259754,-123.114732,V5Z
2277 E 30th Ave #309, Vancouver,BC,V5N5N1,Canada,49.24154,-123.059303,V5N
8488 Cornish St #619, Vancouver,BC,V6P0C2,Canada,49.208889,-123.141934,V6P
4455 W 1st Ave, Vancouver,BC,V6R4H9,Canada,49.272334,-123.207492,V6R
2210 Willow St, Vancouver,BC,V5Z0C8,Canada,49.288756,-123.060169,V5Z
3061 E Kent Ave N #1205, Vancouver,BC,V5S2L7,Canada,49.207247,-123.044585,V5S
1000 Beach Ave #704, Vancouver,BC,V6E4M2,Canada,49.275624,-123.134213,V6E
2190 W 7th Ave #111, Vancouver,BC,V6K4K7,Canada,49.265347,-123.154679,V6K
1283 Howe St #3208, Vancouver,BC,V6Z0E3,Canada,49.277218,-123.128625,V6Z
1499 W Pender St #1303, Vancouver,BC,V6G2S3,Canada,49.289964,-123.128049,V6G
4007 W 19th Ave, Vancouver,BC,V6S1E2,Canada,49.255859,-123.193925,V6S
4907 Walden St, Vancouver,BC,V5W2V6,Canada,49.240342,-123.100534,V5W
3838 W 50th Ave, Vancouver,BC,V6N3V5,Canada,49.226212,-123.189398,V6N
2437 W 1st Ave #1, Vancouver,BC,V6K1G5,Canada,49.271146,-123.160658,V6K
1368 Minto Cres, Vancouver,BC,V6H2J5,Canada,49.242479,-123.136033,V6H
8645 Osler St #301, Vancouver,BC,V6P4E6,Canada,49.207578,-123.1322,V6P
4085 Puget Dr, Vancouver,BC,V6L2V3,Canada,49.250233,-123.171175,V6L
2020 E Kent Ave SE #411, Vancouver,BC,V5P4X2,Canada,49.206558,-123.065143,V5P
1616 W 13th Ave #502, Vancouver,BC,V6J2G6,Canada,49.259605,-123.141727,V6J
499 Broughton St #1703, Vancouver,BC,V6G3K1,Canada,49.29059,-123.127174,V6G
910 Beach Ave #503, Vancouver,BC,V6Z2W7,Canada,49.275321,-123.133399,V6Z
180 E 2nd Ave #1012, Vancouver,BC,V5T1B5,Canada,49.268674,-123.101202,V5T
2671 McBain Ave, Vancouver,BC,V6L2C7,Canada,49.247322,-123.164319,V6L
2658 Morningstar Cres #17, Vancouver,BC,V5S4P4,Canada,49.206541,-123.0541,V5S
1616 Bayshore Dr #202, Vancouver,BC,V6G3L1,Canada,49.291509,-123.13015,V6G
1330 Harwood St #708, Vancouver,BC,V6E1S8,Canada,49.281647,-123.138072,V6E
2509 W 37th Ave, Vancouver,BC,V6N2T2,Canada,49.238678,-123.1629,V6N
1748 E 55th Ave, Vancouver,BC,V5P1Z6,Canada,49.219678,-123.070476,V5P
1283 Howe St #3405, Vancouver,BC,V6Z0E3,Canada,49.277218,-123.128625,V6Z
1461 E 64th Ave, Vancouver,BC,V5P2M4,Canada,49.212239,-123.075886,V5P
1919 E 3rd Ave, Vancouver,BC,V5N1H4,Canada,49.268014,-123.065301,V5N
168 Powell St #302, Vancouver,BC,V6A0B2,Canada,49.282968,-123.100636,V6A
1782 W 6th Ave, Vancouver,BC,V6J0E5,Canada,49.266351,-123.148513,V6J
1330 Graveley St #302, Vancouver,BC,V5L3A2,Canada,49.270304,-123.076584,V5L
289 Drake St #1405, Vancouver,BC,V6B5Z5,Canada,49.273825,-123.123708,V6B
7176 Duff St, Vancouver,BC,V5P4B3,Canada,49.218979,-123.06423,V5P
8006 Chester St, Vancouver,BC,V5X3Y6,Canada,49.212378,-123.089172,V5X
1410 Bute St #500, Vancouver,BC,V6E2A7,Canada,49.279374,-123.136619,V6E
1198 W 55th Ave, Vancouver,BC,V6P7A1,Canada,49.220129,-123.133097,V6P
1189 Howe St #2703, Vancouver,BC,V6Z2X4,Canada,49.278315,-123.12697,V6Z
1289 Hornby St #3610, Vancouver,BC,V6Z2H7,Canada,49.277771,-123.129738,V6Z
4658 Elm St, Vancouver,BC,V6L2L2,Canada,49.244648,-123.164354,V6L
646 Union St, Vancouver,BC,V6A2B9,Canada,49.277229,-123.090532,V6A
2596 W 14th Ave, Vancouver,BC,V6K2W7,Canada,49.259056,-123.164641,V6K
693 Moberly Rd, Vancouver,BC,V5Z4A4,Canada,49.267062,-123.120499,V5Z
6011 Adera St, Vancouver,BC,V6M3J3,Canada,49.231498,-123.143836,V6M
455 SW Marine Dr #1005, Vancouver,BC,V5X2S9,Canada,49.211163,-123.115988,V5X
1328 W 73rd Ave #8, Vancouver,BC,V6P3E7,Canada,49.204077,-123.135596,V6P
2528 Maple St #407, Vancouver,BC,V6J0B5,Canada,49.263465,-123.149961,V6J
2721 W 24th Ave, Vancouver,BC,V6L1R2,Canada,49.251219,-123.1659,V6L
5912 Churchill St, Vancouver,BC,V6M3H5,Canada,49.232287,-123.141009,V6M
1430 E 8th Ave, Vancouver,BC,V5N1T4,Canada,49.263092,-123.074519,V5N
2033 W 7th Ave #306, Vancouver,BC,V6J1T3,Canada,49.265839,-123.151582,V6J
1824 W 12th Ave, Vancouver,BC,V6J2E2,Canada,49.260618,-123.146536,V6J
1199 Marinaside Cres #3203, Vancouver,BC,V6Z2Y2,Canada,49.273129,-123.120638,V6Z
2268 W 12th Ave #102, Vancouver,BC,V6K2N5,Canada,49.260777,-123.156593,V6K
1487 Homer St, Vancouver,BC,V6Z3C8,Canada,49.272027,-123.126813,V6Z
4559 Beatrice St #1, Vancouver,BC,V5N4J1,Canada,49.243873,-123.066976,V5N
3108 W 31st Ave, Vancouver,BC,V6L2A6,Canada,49.243946,-123.174462,V6L
131 King Edward Ave E #1, Vancouver,BC,V5Y2H8,Canada,49.249221,-123.108316,V5Y
689 Abbott St #3703, Vancouver,BC,V6B0J2,Canada,49.278704,-123.106873,V6B
39 W 12th Ave, Vancouver,BC,V5Y1T4,Canada,49.260551,-123.105971,V5Y
3589 W 35th Ave, Vancouver,BC,V6N2N4,Canada,49.240627,-123.184898,V6N
63 W 13th Ave, Vancouver,BC,V5Y1V5,Canada,49.25965,-123.106526,V5Y
1600 Hornby St #203, Vancouver,BC,V6Z2S4,Canada,49.273984,-123.134119,V6Z
4006 W 34th Ave, Vancouver,BC,V6N2L7,Canada,49.241167,-123.193962,V6N
168 Powell St #501, Vancouver,BC,V6A0B2,Canada,49.282968,-123.100636,V6A
6076 Tisdall St #605, Vancouver,BC,V5Z3N2,Canada,49.230352,-123.121141,V5Z
1330 Burrard St #217, Vancouver,BC,V6Z2B8,Canada,49.277302,-123.13129,V6Z
1182 Quebec St #11, Vancouver,BC,V6A4B2,Canada,49.27411,-123.101233,V6A
4528 Langara Ave, Vancouver,BC,V6R1C8,Canada,49.272679,-123.209639,V6R
4333 Locarno Cres, Vancouver,BC,V6R1G2,Canada,49.269209,-123.20402,V6R
142 E 27th Ave, Vancouver,BC,V5V2K4,Canada,49.247028,-123.102357,V5V
1386 Nicola St #24, Vancouver,BC,V6G2G2,Canada,49.282452,-123.140146,V6G
601 Jervis St, Vancouver,BC,V6E3M5,Canada,49.288547,-123.125844,V6E
833 Seymour St #607, Vancouver,BC,V6B0G4,Canada,49.280497,-123.119756,V6B
3161 W 4th Ave #205, Vancouver,BC,V6K1R6,Canada,49.268705,-123.174915,V6K
1959 W 15th Ave, Vancouver,BC,V6J2L2,Canada,49.25788,-123.149851,V6J
185 W 45th Ave, Vancouver,BC,V5Y2W2,Canada,49.229855,-123.110477,V5Y
1775 Quebec St #607, Vancouver,BC,V5T0E3,Canada,49.269514,-123.103314,V5T
5288 Melbourne St #1205, Vancouver,BC,V5R6E6,Canada,49.234589,-123.028988,V5R
1480 Howe St #5601, Vancouver,BC,V6Z0G5,Canada,49.274891,-123.131173,V6Z
2645 W 6th Ave, Vancouver,BC,V6K1W6,Canada,49.266824,-123.16538,V6K
1372 Seymour St #4102, Vancouver,BC,V6B0L1,Canada,49.27459,-123.127563,V6B
988 W 54th Ave #203, Vancouver,BC,V6P1M9,Canada,49.221676,-123.137879,V6P
5665 Boundary Rd #2807, Vancouver,BC,V5R0E4,Canada,49.233386,-123.024471,V5R
5650 Oak St #208, Vancouver,BC,V6M2V6,Canada,49.234715,-123.127612,V6M
1288 Georgia St W PENTHOUSE 5, Vancouver,BC,V6E4R3,Canada,49.288097,-123.126151,V6E
4309 Locarno Cres, Vancouver,BC,V6R1G2,Canada,49.269064,-123.203404,V6R
1283 Howe St #2504, Vancouver,BC,V6Z0E3,Canada,49.277218,-123.128625,V6Z
4569 W 2nd Ave, Vancouver,BC,V6R1K7,Canada,49.271603,-123.210982,V6R
2741 Hastings St E #200, Vancouver,BC,V5K1Z8,Canada,49.281423,-123.048362,V5K
1080 Wolfe Ave, Vancouver,BC,V6H1V8,Canada,49.254646,-123.129873,V6H
1500 Hornby St #1805, Vancouver,BC,V6Z2R1,Canada,49.275736,-123.131665,V6Z
51 E 27th Ave, Vancouver,BC,V5V2K2,Canada,49.247524,-123.104159,V5V
830 E 7th Ave #211, Vancouver,BC,V5T4J2,Canada,49.26404,-123.086412,V5T
311 E 6th Ave #405, Vancouver,BC,V5T0G9,Canada,49.265607,-123.098523,V5T
750 W 6th Ave, Vancouver,BC,V5Z0C8,Canada,49.265658,-123.121194,V5Z
2925 McGill St, Vancouver,BC,V5K1H8,Canada,49.289001,-123.04321,V5K
40 E 46th Ave #1, Vancouver,BC,V5W1Z1,Canada,49.228272,-123.104959,V5W
1726 W 32nd Ave, Vancouver,BC,V6J3A7,Canada,49.243344,-123.144295,V6J
2032 E 22nd Ave, Vancouver,BC,V5N2R4,Canada,49.250008,-123.06413,V5N
3885 W 35th Ave, Vancouver,BC,V6N2N8,Canada,49.240751,-123.190514,V6N
3138 Riverwalk Ave #312, Vancouver,BC,V5S0B6,Canada,49.205651,-123.040863,V5S
1907 E 38th Ave, Vancouver,BC,V5P1G6,Canada,49.235477,-123.067132,V5P
1502 Island Park Walk #107, Vancouver,BC,V6H3Z8,Canada,49.270581,-123.139126,V6H
964 W 15th Ave, Vancouver,BC,V5Z1R9,Canada,49.25762,-123.126543,V5Z
4638 Gladstone St #1510, Vancouver,BC,V5N4Y8,Canada,49.242466,-123.062508,V5N
2335 W 18th Ave, Vancouver,BC,V6L1A7,Canada,49.256582,-123.158831,V6L
3888 W 13th Ave, Vancouver,BC,V6R2S8,Canada,49.260558,-123.190619,V6R
1362 E 60th Ave, Vancouver,BC,V5X2A9,Canada,49.215236,-123.078257,V5X
6011 Macdonald St, Vancouver,BC,V6N1E5,Canada,49.231692,-123.167833,V6N
2033 W 7th Ave #305, Vancouver,BC,V6J1T3,Canada,49.265839,-123.151582,V6J
2838 Birch St #3, Vancouver,BC,V6H2T6,Canada,49.260004,-123.133506,V6H
7123 Selkirk St, Vancouver,BC,V6P6J4,Canada,49.221187,-123.133918,V6P
939 W 7th Ave #26, Vancouver,BC,V5Z1C4,Canada,49.265369,-123.125488,V5Z
1211 Melville St #2404, Vancouver,BC,V6E0A7,Canada,49.288385,-123.124397,V6E
8410 Cornerstone St, Vancouver,BC,V5S4S1,Canada,49.207854,-123.033394,V5S
1375 King Edward Ave W, Vancouver,BC,V6H2A1,Canada,49.249817,-123.135915,V6H
2311 W 8th Ave, Vancouver,BC,V6K2A8,Canada,49.265068,-123.158095,V6K
1199 Marinaside Cres UNIT 3002, Vancouver,BC,V6Z2Y2,Canada,49.273129,-123.120638,V6Z
3998 Granville St, Vancouver,BC,V6H3L2,Canada,49.250458,-123.13867,V6H
667 Howe St #4601, Vancouver,BC,V6C0B5,Canada,49.283705,-123.119032,V6C
1591 Nanton Ave, Vancouver,BC,V6J2X3,Canada,49.247697,-123.141284,V6J
2209 Alder St, Vancouver,BC,V6H2R8,Canada,49.265802,-123.131605,V6H
1177 Hornby St #203, Vancouver,BC,V6Z2E9,Canada,49.278837,-123.128065,V6Z
2843 W 44th Ave, Vancouver,BC,V6N3K1,Canada,49.232135,-123.168845,V6N
445 W 2nd Ave #TOWNHOUSE 101, Vancouver,BC,V5Y0E8,Canada,49.266828,-123.113794,V5Y
1408 Robson St #1006, Vancouver,BC,V6G1B9,Canada,49.28808,-123.13083,V6G
557 E 20th Ave, Vancouver,BC,V5V1M7,Canada,49.253106,-123.092568,V5V
822 Homer St #1303, Vancouver,BC,V6B6M3,Canada,49.279045,-123.116954,V6B
1717 Haro St #401, Vancouver,BC,V6G1H1,Canada,49.290223,-123.135177,V6G
583 Beach Cres #1003, Vancouver,BC,V6Z3E6,Canada,49.273589,-123.129221,V6Z
3814 W 15th Ave, Vancouver,BC,V6R2Z9,Canada,49.258712,-123.1885,V6R
1191 W 40th Ave, Vancouver,BC,V6M1V1,Canada,49.23528,-123.132242,V6M
1331 Alberni St #2701, Vancouver,BC,V6E4S1,Canada,49.288352,-123.127898,V6E
455 Beach Cres #1102, Vancouver,BC,V6Z3E5,Canada,49.272668,-123.127769,V6Z
6210 Larch St, Vancouver,BC,V6M4C6,Canada,49.230031,-123.16252,V6M
1050 Chilco St #503, Vancouver,BC,V6G2R8,Canada,49.290238,-123.142748,V6G
1234 Pendrell St #102, Vancouver,BC,V6E1L6,Canada,49.282739,-123.133262,V6E
1965 E 37th Ave, Vancouver,BC,V5P1E9,Canada,49.236934,-123.066233,V5P
3615 Georgia St E, Vancouver,BC,V5K2M2,Canada,49.278475,-123.0253,V5K
2715 E Pender St #2, Vancouver,BC,V5K2B9,Canada,49.280519,-123.048778,V5K
688 Fairchild Rd #204, Vancouver,BC,V5Z4P7,Canada,49.230828,-123.120572,V5Z
1131 Homer St, Vancouver,BC,V6B0B1,Canada,49.276189,-123.12245,V6B
46 King Edward Ave W, Vancouver,BC,V5Y2H7,Canada,49.24855,-123.106148,V5Y
928 Richards St #2002, Vancouver,BC,V6B6P6,Canada,49.278357,-123.119901,V6B
550 Taylor St UNIT 1610, Vancouver,BC,V6B1R1,Canada,49.279776,-123.10558,V6B
1159 Main St #805, Vancouver,BC,V6A4B6,Canada,49.274261,-123.100494,V6A
871 W 33rd Ave, Vancouver,BC,V5V3A4,Canada,49.241609,-123.124533,V5V
1255 Seymour St PENTHOUSE 3401, Vancouver,BC,V6B0H1,Canada,49.276039,-123.126471,V6B
1837 Matthews Ave, Vancouver,BC,V6J2T4,Canada,49.251583,-123.146601,V6J
4078 Knight St #523, Vancouver,BC,V5N5Y9,Canada,49.248893,-123.075391,V5N
1238 W 45th Ave, Vancouver,BC,V6M2G7,Canada,49.230128,-123.133482,V6M
2411 Heather St #1801, Vancouver,BC,V5Z0B7,Canada,49.264583,-123.120097,V5Z
2119 E 29th Ave #1, Vancouver,BC,V5N2Z2,Canada,49.245166,-123.062331,V5N
4652 Victoria Dr, Vancouver,BC,V5N4N9,Canada,49.243247,-123.064884,V5N
2055 Pendrell St #1605, Vancouver,BC,V6G1T9,Canada,49.290618,-123.144258,V6G
16 Lakewood Dr #305, Vancouver,BC,V5L4L1,Canada,49.284536,-123.061412,V5L
3806 W 3rd Ave, Vancouver,BC,V6R1M4,Canada,49.269297,-123.187861,V6R
1136 E 10th Ave, Vancouver,BC,V5T2B7,Canada,49.261189,-123.08052,V5T
1417 E 27th Ave, Vancouver,BC,V5N2W5,Canada,49.246662,-123.075282,V5N
1637 Angus Dr, Vancouver,BC,V6J4H2,Canada,49.254735,-123.14173,V6J
4769 Belmont Ave, Vancouver,BC,V6T1A8,Canada,49.275514,-123.217758,V6T
5584 Mackenzie St, Vancouver,BC,V6N1H2,Canada,49.235982,-123.169781,V6N
3402 Osler St, Vancouver,BC,V6H2W3,Canada,49.255587,-123.131849,V6H
3852 W 50th Ave, Vancouver,BC,V6N3V5,Canada,49.226214,-123.189675,V6N
1307 W 41st Ave, Vancouver,BC,V6M1X4,Canada,49.234482,-123.135094,V6M
4575 Alexandra St, Vancouver,BC,V6J4C9,Canada,49.244421,-123.141555,V6J
2112 Prince Edward St, Vancouver,BC,V5T3M3,Canada,49.265872,-123.095414,V5T
1981 W 19th Ave, Vancouver,BC,V6J2P2,Canada,49.254698,-123.150072,V6J
1238 Seymour St #1401, Vancouver,BC,V6B6J3,Canada,49.275778,-123.125761,V6B
2239 Saint Catherines St #301, Vancouver,BC,V5T4M9,Canada,49.264578,-123.085505,V5T
4417 W 16th Ave, Vancouver,BC,V6R3E7,Canada,49.258606,-123.206867,V6R
1200 Alberni St #2903, Vancouver,BC,V6E1A6,Canada,49.28687,-123.12674,V6E
5288 Melbourne St #1905, Vancouver,BC,V5R6E6,Canada,49.234589,-123.028988,V5R
6836 Arbutus St, Vancouver,BC,V6P5S7,Canada,49.22343,-123.154671,V6P
2047 Mannering Ave, Vancouver,BC,V5N3C2,Canada,49.240907,-123.064039,V5N
1335 Howe St #1504, Vancouver,BC,V6Z0H1,Canada,49.276569,-123.129609,V6Z
6076 Angus Dr, Vancouver,BC,V6M3P1,Canada,49.231128,-123.147432,V6M
889 Pacific St #1606, Vancouver,BC,V6Z2P5,Canada,49.27632,-123.13079,V6Z
2243 Oak St, Vancouver,BC,V6H3W6,Canada,49.265755,-123.127872,V6H
5380 Oben St #1609, Vancouver,BC,V5R6H7,Canada,49.235142,-123.026165,V5R
