Postal Code,Region,Neighborhood
V1A,Kimberley,
V1B,Vernon East,
V1C,Cranbrook,
V1E,Salmon Arm,
V1G,Dawson Creek,
V1H,Vernon West,
V1J,Fort St. John,
V1K,Merritt,
V1L,Nelson,
V1M,Langley Township North,
V1N,Castlegar,
V1P,Kelowna East,
V1R,Trail,
V1S,Kamloops Southwest,
V1T,Vernon Central,
V1V,Kelowna North,
V1W,Kelowna Southwest,
V1X,Kelowna East Central,
V1Y,Kelowna Central,
V1Z,West Kelowna East,
V2A,Penticton,
V2B,Kamloops Northwest,
V2C,Kamloops Central and Southeast,
V2E,Kamloops South and West,
V2G,Williams Lake,
V2H,Kamloops North,
V2J,Quesnel,
V2K,Prince George North,
V2L,Prince George East Central,
V2M,Prince George West Central,
V2N,Prince George South,
V2P,Chilliwack Central,
V2R,Chilliwack West,
V2S,Abbotsford Southeast,
V2T,Abbotsford Southwest,
V2V,Mission East,
V2W,Maple Ridge East,
V2X,Maple Ridge West,
V2Y,Langley Township Northwest,
V2Z,Langley Township Southwest,
V3A,Langley Township,Langley City
V3B,Port Coquitlam Central,
V3C,Port Coquitlam South,
V3E,Coquitlam North,
V3G,Abbotsford East,
V3H,Port Moody,
V3J,Coquitlam North,
V3K,Coquitlam South,
V3L,New Westminster Northeast,
V3M,New Westminster Southwest,Includes Annacis Island
V3N,Burnaby,East Big Bend / Stride Avenue / Edmonds / Cariboo-Armstrong
V3P,Not assigned,
V3R,Surrey North,
V3S,Surrey Upper East,
V3T,Surrey Inner Northwest,
V3V,Surrey Outer Northwest,
V3W,Surrey Upper West,
V3X,Surrey Lower West,
V3Y,Pitt Meadows,
V3Z,Surrey Lower East,
V4A,Surrey Southwest,
V4B,White Rock,
V4C,Delta Northeast,
V4E,Delta East,
V4G,Delta East Central,
V4H,Not assigned,
V4J,Not assigned,
V4K,Delta Northwest,
V4L,Delta Southeast,
V4M,Delta Southwest,
V4N,Surrey Northeast,
V4P,Surrey South,
V4R,Maple Ridge Northwest,
V4S,Mission West,
V4T,West Kelowna,Westbank
V4V,Winfield,
V4W,Langley Township East,
V4X,Abbotsford West,
V4Y,Armstrong[3] / Spallumcheen / Enderby,
V4Z,Chilliwack East,
V5A,Burnaby,Government Road / Lake City / SFU / Burnaby Mountain
V5B,Burnaby,Parkcrest-Aubrey / Ardingley-Sprott
V5C,Burnaby,Burnaby Heights / Willingdon Heights / West Central Valley
V5E,Burnaby,Lakeview-Mayfield / Richmond Park / Kingsway-Beresford
V5G,Burnaby,Cascade-Schou / Douglas-Gilpin
V5H,Burnaby,Maywood / Marlborough / Oakalla / Windsor
V5J,Burnaby,Suncrest / Sussex-Nelson / Clinton-Glenwood / West Big Bend
V5K,Vancouver,North Hastings-Sunrise
V5L,Vancouver,North Grandview- Woodland
V5M,Vancouver,South Hastings-Sunrise / North Renfrew- Collingwood
V5N,Vancouver,South Grandview- Woodland / NE Kensington-Cedar Cottage
V5P,Vancouver,SE Kensington-Cedar Cottage / Victoria- Fraserview
V5R,Vancouver,South Renfrew- Collingwood
V5S,Vancouver,Killarney
V5T,Vancouver,East Mount Pleasant
V5V,Vancouver,West Kensington-Cedar Cottage / NE Riley Park
V5W,Vancouver,SE Riley Park / SW Kensington-Cedar Cottage / NE Oakridge / North Sunset
V5X,Vancouver,SE Oakridge / East Marpole / South Sunset
V5Y,Vancouver,West Mount Pleasant / West Riley Park
V5Z,Vancouver,East Fairview / South Cambie
V6A,Vancouver,Strathcona / Chinatown / Downtown Eastside
V6B,Vancouver,NE Downtown / Gastown / Harbour Centre / International Village / Victory Square / Yaletown
V6C,Vancouver,Waterfront / Coal Harbour / Canada Place
V6E,Vancouver,SE West End / Davie Village
V6G,Vancouver,NW West End / Stanley Park
V6H,Vancouver,West Fairview / Granville Island / NE Shaughnessy
V6J,Vancouver,NW Shaughnessy / East Kitsilano / Quilchena
V6K,Vancouver,Central Kitsilano / Greektown
V6L,Vancouver,NW Arbutus Ridge / NE Dunbar- Southlands
V6M,Vancouver,South Shaughnessy / NW Oakridge / NE Kerrisdale / SE Arbutus Ridge
V6N,Vancouver,West Kerrisdale / South Dunbar- Southlands / Musqueam
V6P,Vancouver,SE Kerrisdale / SW Oakridge / West Marpole
V6R,Vancouver,West Kitsilano / West Point Grey / Jericho
V6S,Vancouver,NW Dunbar- Southlands / Chaldecutt / South University Endowment Lands
V6T,Vancouver,UBC
V6V,Richmond Northeast,
V6W,Richmond Southeast,
V6X,Richmond North,
V6Y,Richmond Central,
V6Z,Vancouver,SW Downtown
V7A,Richmond South,
V7B,Richmond,Sea Island / YVR
V7C,Richmond Northwest,
V7E,Richmond Southwest,
V7G,North Vancouver,district municipality) Outer East
V7H,North Vancouver,district municipality) Inner East
V7J,North Vancouver,district municipality) East Central
V7K,North Vancouver,district municipality) North Central
V7L,North Vancouver,city) South Central
V7M,North Vancouver,city) Southwest Central
V7N,North Vancouver,district municipality) Northwest Central
V7P,North Vancouver,city) Southwest
V7R,North Vancouver,district municipality) Northwest
V7S,West Vancouver North,
V7T,West Vancouver Southeast,
V7V,West Vancouver South,
V7W,West Vancouver West,
V7X,Vancouver,Bentall Centre
V7Y,Vancouver,Pacific Centre
V7Z,Sechelt,Halfmoon Bay
V8A,Powell River,
V8B,Squamish,
V8C,Kitimat,
V8E,Whistler,
V8G,Terrace,
V8H,Cobble Hill / Mill Bay / Shawnigan Lake,
V8J,Prince Rupert,
V8K,Salt Spring Island,
V8L,Sidney,North Saanich / YYJ
V8M,Central Saanich,
V8N,Victoria,East Saanich
V8P,Victoria,SE Saanich / UVic
V8R,Victoria,North Oak Bay / North Fernwood / North Jubilee / South Jubilee / East Oaklands
V8S,Victoria,South Oak Bay / East Fairfield / Gonzales / South Fernwood / Rockland
V8T,Victoria,SE Burnside / Hillside-Quadra / North Park / West Oaklands / Rock Bay
V8V,Victoria,Cook Street Village / West Fairfield / Harris Green / Humboldt Valley / James Bay
V8W,Victoria,Downtown / Chinatown)British Columbia Provincial Government
V8X,Victoria,South Saanich
V8Y,Victoria,NE Saanich
V8Z,Victoria,Middle Saanich
V9A,Victoria,Vic West / Esquimalt)Canadian Forces (MARPAC
V9B,Victoria,West Highlands / North Langford / View Royal
V9C,Victoria,Colwood / South Langford / Metchosin
V9E,Victoria,East Highlands / NW Saanich
V9G,Ladysmith,
V9H,Campbell River Outskirts,
V9J,Courtenay Northern Outskirts,
V9K,Qualicum Beach,
V9L,Duncan,
V9M,Comox,
V9N,Courtenay Central,
V9P,Parksville,
V9R,Nanaimo South,
V9S,Nanaimo Central,
V9T,Nanaimo,North / Wellington / Northfield / Departure Bay
V9V,Nanaimo Northwest,
V9W,Campbell River Central,
V9X,Nanaimo,Cedar
V9Y,Port Alberni,
V9Z,Sooke,
